ranking,name,highSchool,position,height,weight,stars,rating,college
NA,Sidney Porter,Cardinal Gibbons (Fort Lauderdale	 FL),S,5-11, 193 ,3,0.8215,Marshall
NA,KJ Johnson,Buford (Buford	 GA),ATH,5-11, 175 ,3,0.8215,Coastal Carolina
NA,Brandon Crenshaw-Dickson,Narbonne (Harbor City	 CA),OT,6-6, 260 ,3,0.8214,San Diego State
NA,Will Kuehne,Owasso (Owasso	 OK),PRO,6-1, 190 ,3,0.8214,North Texas
NA,Jaden Jenkins,Jefferson County (Louisville	 GA),DUAL,6-3, 205 ,3,0.8214,Georgia Southern
NA,Matt Lee,Hagerty  (Oviedo	 FL),OT,6-3, 285 ,3,0.8214,UCF
NA,Tae'Aviion Gray,Brooks County (Quitman	 GA),WDE,6-2, 215 ,3,0.8213,USF
NA,Jax Dineen,Lawrence Free State (Lawrence	 KS),FB,5-10, 230 ,3,0.8213,Kansas State
NA,Taylor Morin,Westfield (Chantilly	 VA),ATH,5-10, 170 ,3,0.8209,Wake Forest
NA,Marcus Finger,Fort Myers (Fort Myers	 FL),OT,6-5, 296 ,3,0.8206,Maryland
NA,Xavier Weaver,Orlando Christian Prep (Orlando	 FL),WR,6-1, 165 ,3,0.8206,USF
NA,Anthony Landphere,St. Francis (Mountain View	 CA),TE,6-5, 220 ,3,0.8206,San Diego State
NA,Jaquerrious Williams,Tupelo (Tupelo	 MS),RB,5-9, 190 ,3,0.8206,Arkansas State
NA,De'Braylon Carroll,Duncanville (Duncanville	 TX),DT,6-0, 285 ,3,0.8204,Rice
NA,Mohamed Toure,Irvington (Irvington	 NJ),WR,6-3, 190 ,3,0.8204,Northern Illinois
NA,Danny Motowski,De La Salle Collegiate (Warren	 MI),OC,6-2, 280 ,3,0.8204,Central Michigan
NA,Jordan Anderson,East English Village Prep (Detroit	 MI),S,5-10.5, 191 ,3,0.8204,Bowling Green
NA,Jack Coldiron,Covington Catholic (Alexandria	 KY),ATH,6-5, 215 ,3,0.8204,Miami (OH)
NA,Leif Engstrand,Oconomowoc (Oconomowoc	 WI),OT,6-8, 290 ,3,0.8204,Northern Illinois
NA,Darius Boone,Union (Tulsa	 OK),RB,5-11, 190 ,3,0.8204,Eastern Michigan
NA,Tony Register,Booker (Sarasota	 FL),DT,6-4, 260 ,3,0.8204,Western Kentucky
NA,Hector Becerra,Lawton (Lawton	 OK),OC,6-1, 285 ,3,0.8204,uncommitted
NA,Peyton Dixon,Bishop Manogue HS (Reno	 NV),RB,5-11, 187 ,3,0.8204,Fresno State
NA,Brayden Monday,Tuscola (Waynesville	 NC),SDE,6-4, 240 ,3,0.8204,Liberty
NA,Marcus Harris,Park Crossing (Montgomery	 AL),SDE,6-3, 250 ,3,0.8204,Kansas
NA,Alex Cherry,St. Sebastian's (Norwood	 MA),WR,6-4, 210 ,3,0.8204,Princeton
NA,Kyle Beaudry,Liberty (Henderson	 NV),OLB,6-1, 205 ,3,0.8204,UNLV
NA,TK Hamilton,Waskom (Waskom	 TX),ATH,5-11, 161 ,3,0.8204,uncommitted
,,,,,,0,,uncommitted
NA,Jawan King,Atlanta (Atlanta	 TX),RB,5-10, 210 ,3,0.8204,Rice
NA,Tyrone Broden,West Bloomfield (West Bloomfield	 MI),WR,6-4, 172 ,3,0.8204,Bowling Green
NA,Christian Singleton,North Cobb (Kennesaw	 GA),RB,5-11, 210 ,3,0.8204,Western Michigan
NA,Alex Wright,Elba (Elba	 AL),SDE,6-4, 225 ,3,0.8204,UAB
NA,Eric Hicks,Benedictine Military School (Savannah	 GA),DT,6-3, 260 ,3,0.8204,Tulane
NA,Javonte McGriff,Thomasville (Thomasville	 GA),OG,-, - ,3,0.8204,Georgia Southern
NA,Eli Neal,White Station (Memphis	 TN),ILB,6-1, 218 ,3,0.8204,Marshall
NA,Cedrick Wilcox,St. Lucie West Centennial (Port Saint Lucie	 FL),RB,5-11, 185 ,3,0.8204,Marshall
NA,Malik Darisaw,James Rickards (Tallahassee	 FL),SDE,6-4, 225 ,3,0.8204,Marshall
NA,Michael Erhart,Chaminade (West Hills	 CA),OLB,6-1, 212 ,3,0.8202,Oregon State
NA,Neal Johnson,West Mesquite (Mesquite	 TX),TE,6-4, 220 ,3,0.8202,Louisiana
NA,Josh Berry,Ridge Community (Davenport	 FL),RB,6-0, 181 ,3,0.8202,USF
NA,Jordan Sandy,ProKick Australia (Australia	 AUST),P,6-2, 200 ,3,0.8202,TCU
NA,Anthony Scott,Carver  (Montgomery	 AL),WDE,6-4, 210 ,3,0.8200,uncommitted
NA,Marcelo Mendiola,Mount Carmel (Chicago	 IL),OT,6-5, 285 ,3,0.8200,Cincinnati
NA,Dante Wright,Navarre (Navarre	 FL),WR,5-10, 165 ,3,0.8199,Colorado State
NA,Clyde Price,North Kansas City (Kansas City	 MO),RB,6-1, 220 ,3,0.8199,Kansas State
NA,Keonte Glinton,Bakersfield Christian (Bakersfield	 CA),ATH,6-0, 170 ,3,0.8199,Wyoming
NA,Blaze McKibbin,Servite (WESTLAKE VILLAGE	 CA),PRO,6-5, 210 ,3,0.8199,uncommitted
NA,Alec Bank,Tesoro (Rancho Santa Margarita	 CA),OG,6-4, 265 ,3,0.8199,Harvard
NA,Richie Pinomi,Narbonne (Harbor City	 CA),OC,6-3, 285 ,3,0.8199,uncommitted
NA,JP Andrade,Bonita (La Verne	 CA),PRO,6-3, 200 ,3,0.8199,uncommitted
NA,Jamahd Monroe,Lincoln (San Diego	 CA),WR,6-1, 180 ,3,0.8199,Montana State
NA,Jojo Siofele,Union (Camas	 WA),RB,5-10, 200 ,3,0.8199,Portland State
NA,Hunter Poncius,Buffalo Senior (Buffalo	 MN),OT,6-7, 270 ,3,0.8199,North Dakota State
NA,Sivea Logoleo,St. John Bosco (Bellflower	 CA),OLB,6-1, 240 ,3,0.8199,uncommitted
NA,Justice Pagan,Clackamas (Clackamas	 OR),OLB,6-2, 225 ,3,0.8199,Portland State
NA,DeOnte Washington,Vista Ridge (Colorado Springs	 CO),SDE,6-3, 255 ,3,0.8198,uncommitted
NA,Nathan Peterson,Dixon (Dixon	 CA),OG,6-5, 285 ,3,0.8198,Air Force
NA,Jhasi Wilson,De La Salle (Concord	 CA),OLB,6-1, 215 ,3,0.8198,Northern Arizona
NA,Jaden Tauanuu,Pittsburg (Pittsburg	 CA),OLB,6-3, 205 ,3,0.8198,Northern Arizona
NA,Isaiah Jernagin,Bakersfield (Bakersfield	 CA),CB,5-9.5, 172 ,3,0.8198,Cal Poly
NA,Eric Folau,Alta (Sandy	 UT),ILB,6-2, 210 ,3,0.8198,uncommitted
NA,Charlie Vincent,East (Salt Lake City	 UT),ATH,6-0, 180 ,3,0.8198,uncommitted
NA,Saleka Ata'ata,Bingham (South Jordan	 UT),ILB,6-0, 220 ,3,0.8198,uncommitted
NA,Khalil Lewis,Lakes (Lakewood	 WA),ATH,5-11, 185 ,3,0.8198,uncommitted
NA,Nathan Puletasi,Mead (Spokane	 WA),DT,6-3, 265 ,3,0.8198,Yale
NA,Liam Gilhuly,Chaminade (West Hills	 CA),DT,6-2, 265 ,3,0.8198,uncommitted
NA,Canaan Yarro,Timpview (Provo	 UT),OC,6-1, 270 ,3,0.8198,Southern Utah
NA,Nick DeJong,Pella (Pella	 IA),SDE,6-6, 240 ,3,0.8198,Iowa
NA,Cameron Gardner,Mater Dei (Santa Ana	 CA),WR,6-0, 175 ,3,0.8198,uncommitted
NA,Trent Tompkins,Central East (Fresno	 CA),PRO,6-0, 190 ,3,0.8198,UC Davis
NA,Jehiel Budgett,Monterey Trail (Elk Grove	 CA),CB,5-11, 175 ,3,0.8198,UC Davis
NA,Ethan Rinke,Athens (Athens	 AL),WDE,6-3.5, 240 ,3,0.8198,uncommitted
NA,Gerron Duhon,Washington-Marion (Lake Charles	 LA),CB,5-10, 170 ,3,0.8198,Yale
NA,Omari Garry,Bishop Alemany (Mission Hills	 CA),RB,5-8.5, 183 ,3,0.8198,uncommitted
NA,Donovan King,Farmington (Farmington	 MI),SDE,6-4, 245 ,3,0.8198,uncommitted
NA,Kortez Toles,Grand Blanc Community (Grand Blanc	 MI),CB,6-3, 180 ,3,0.8198,Grand Valley State
NA,Jaylon Ned,Washington-Marion (Lake Charles	 LA),WDE,6-6, 230 ,3,0.8198,Southeastern Louisiana
NA,Jimyon Profit,Scotlandville Magnet (Baton Rouge	 LA),ILB,6-2, 220 ,3,0.8198,uncommitted
,,,,,,0,,uncommitted
NA,Tre Young,Riverwood (Atlanta	 GA),APB,5-11, 190 ,3,0.8198,uncommitted
NA,Theron Foreman,Laney (Augusta	 GA),OLB,5-11, 200 ,3,0.8198,uncommitted
NA,Reed Ryan,Waunakee (Waunakee	 WI),WDE,6-3, 222 ,3,0.8198,North Dakota State
NA,Jacob Knight,Cave Spring (Roanoke	 VA),PRO,6-4, 215 ,3,0.8198,uncommitted
NA,Jabari Kindle,Arcadia (Arcadia	 CA),WR,5-9, 160 ,3,0.8198,uncommitted
NA,Brooks Rayburn,Hancock (Kiln	 MS),WR,6-1, 175 ,3,0.8198,Nicholls State
NA,Damarryea Armstrong,Warren (Downey	 CA),RB,6-1, 180 ,3,0.8198,uncommitted
NA,Elisha Armstrong,Bolingbrook (Bolingbrook	 IL),WDE,6-3, 240 ,3,0.8198,uncommitted
NA,Jeremiah Flanagan,Huntington Beach (Huntington Beach	 CA),ATH,6-4, 185 ,3,0.8198,uncommitted
NA,Josiah Ezirim,Hilliard Davidson (Hilliard	 OH),SDE,6-7, 265 ,3,0.8198,Eastern Kentucky
NA,Donte Justice,Baldwin (Milledgeville	 GA),S,5-11, 175 ,3,0.8198,Kennesaw State
NA,Leroy Love,Pahokee (Pahokee	 FL),RET,5-7, 152 ,3,0.8198,uncommitted
NA,Malik Brooks,Lockport (Lockport	 NY),WR,6-3, 180 ,3,0.8198,Monmouth
NA,Justice Hill,Little Rock Christian Academy (Little Rock	 AR),ATH,5-11, 175 ,3,0.8198,uncommitted
NA,Peyton Thompson,Union (Tulsa	 OK),PRO,6-2, 190 ,3,0.8198,uncommitted
NA,PJ Jules,Jones (Orlando	 FL),S,6-1, 185 ,3,0.8198,uncommitted
NA,Naki Fahina,Lawndale (Lawndale	 CA),SDE,6-1, 255 ,3,0.8198,UNLV
NA,Austin White,Tampa Catholic (Tampa	 FL),TE,6-5, 235 ,3,0.8198,uncommitted
NA,Kale Edwards,Coeur d'Alene (Coeur D Alene	 ID),PRO,6-5, 210 ,3,0.8198,Montana
NA,Sebastian Macaluso,Oaks Christian (Westlake Village	 CA),WR,6-1, 180 ,3,0.8198,uncommitted
NA,Reese White,Riverwood (Atlanta	 GA),RB,5-10, 197 ,3,0.8198,Coastal Carolina
NA,Da'Shon Davis,Jefferson County (Monticello	 FL),WR,5-9, 180 ,3,0.8198,uncommitted
NA,Tom Hutton,ProKick Australia (Australia	 AUST),P,6-0, 195 ,3,0.8198,Oklahoma State
NA,Ivan Mora,Dalton (Dalton	 GA),K,6-0, 160 ,3,0.8197,Wake Forest
NA,Chandler Rogers,Lake Ridge (Mansfield	 TX),DUAL,6-0, 179 ,3,0.8195,Southern Miss
NA,Bryson Lucero,IMG Academy (Bradenton	 FL),PRO,6-2, 212 ,3,0.8195,UAB
NA,Eric Phillips,Colerain (Cincinnati	 OH),SDE,6-3, 280 ,3,0.8194,Cincinnati
NA,Jacob Ferenczi,North Bend (North Bend	 OR),OG,6-6, 270 ,3,0.8194,Oregon State
NA,Logan Wolf,Cedar Falls (Cedar Falls	 IA),WR,6-4, 180 ,3,0.8194,Northern Iowa
NA,Dalvin Smith,Glasgow (Glasgow	 KY),WR,6-3, 225 ,3,0.8194,Western Kentucky
NA,Gio Richardson,Dwyer (Palm Beach Gardens	 FL),DUAL,6-1, 195 ,3,0.8193,Chattanooga
NA,Maliek Stallings,Noxubee County (Macon	 MS),DUAL,6-1, 168 ,3,0.8192,Memphis
NA,Colby Warkentin,Centennial (Bakersfield	 CA),WDE,6-5, 233 ,3,0.8192,Fresno State
NA,Blake Wilcox,Kettle Moraine (Wales	 WI),P,6-4, 215 ,3,0.8191,Wisconsin
NA,Dominic Tatum,Culver City (Culver City	 CA),ATH,6-3, 180 ,3,0.8188,Utah State
NA,Mariano Valenti,St. Thomas Aquinas (Fort Lauderdale	 FL),DUAL,6-1.5, 215 ,3,0.8185,Northern Illinois
NA,Warren Walls,Bishop Lynch (Dallas	 TX),SDE,6-4, 220 ,3,0.8185,SMU
NA,Nicholas Witherspoon,Ben L Smith (Greensboro	 NC),WDE,6-4, 190 ,3,0.8183,North Carolina Central
NA,Tiquest Terry,Blacksburg (Blacksburg	 VA),RB,5-9, 165 ,3,0.8182,uncommitted
NA,Dadrion Taylor,Carl Albert (Oklahoma City	 OK),RB,5-11, 170 ,3,0.8181,Texas Tech
NA,Brody Ingle,LaSalle  (Cincinnati	 OH),OLB,6-1, 215 ,3,0.8181,Cincinnati
NA,Brooks Maile,Pine View (Saint George	 UT),SDE,6-4, 285 ,3,0.8181,Brigham Young
NA,Zane Knipe,Lamar (Houston	 TX),WR,5-11, 170 ,3,0.8181,Rice
NA,Matthew Ryals,Purvis (Purvis	 MS),OT,6-7, 280 ,3,0.8181,Southern Miss
NA,Tyler Cooper,Saint Croix Falls (Saint Croix Falls	 WI),OT,6-5, 315 ,3,0.8181,uncommitted
NA,Darius McClendon,Forest Hill Community (West Palm Beach	 FL),WR,6-1, 168 ,3,0.8181,Middle Tennessee State
NA,Adetutu Daranijo,St. Thomas Aquinas (Fort Lauderdale	 FL),S,5-10, 186 ,3,0.8181,Akron
NA,Grant Wells,George Washington (Charleston	 WV),PRO,6-1, 192 ,3,0.8176,Marshall
NA,Elijah Coleman,Rockwall (Rockwall	 TX),CB,6-1, 165 ,3,0.8175,Howard
NA,Ashton Adams,South Salem (Salem	 OR),OG,6-4, 300 ,3,0.8174,Utah State
,,,,,,0,,uncommitted
NA,Jimi McAdams,Padua Franciscan (Cleveland	 OH),OG,6-4, 295 ,3,0.8168,Eastern Michigan
NA,Steve Lubischer,Red Bank Catholic (Red Bank	 NJ),S,6-1, 181 ,3,0.8168,Boston College
NA,Kevin Wood,Judson (Converse	 TX),ILB,6-0, 200 ,3,0.8166,North Texas
NA,Deshaun Davis,Mandarin (Jacksonville	 FL),S,6-0, 187 ,3,0.8165,FIU
NA,Patrick Bayouth,Episcopal (Bellaire	 TX),SDE,6-3, 237 ,3,0.8165,uncommitted
NA,Derrick Wise II,Northside (Fort Smith	 AR),ATH,5-10, 182 ,3,0.8165,Central Arkansas
NA,Ma’ake Fifita,Glacier Peak (Snohomish	 WA),SDE,6-5, 250 ,3,0.8165,Washington State
NA,Chris Todd,Lake Oswego Senior (Lake Oswego	 OR),OLB,6-2.5, 216 ,3,0.8165,Washington State
NA,Kaymen St. Junious,Shadow Creek (Pearland	 TX),S,5-10, 170 ,3,0.8165,Air Force
NA,Gerome Henry,New Caney (New Caney	 TX),ATH,5-11, 186 ,3,0.8165,uncommitted
NA,Reese Silofau,Oaks Christian (Westlake Village	 CA),DT,6-2, 275 ,3,0.8165,uncommitted
NA,Marquise Simmons,DeSmet (Saint Louis	 MO),OG,6-4, 310 ,3,0.8165,uncommitted
NA,Kaleb Chatmon,Cartersville (Cartersville	 GA),WR,6-0, 175 ,3,0.8165,uncommitted
NA,Marc'Allen Derac,Atlantic (Delray Beach	 FL),S,6-3, 176 ,3,0.8165,uncommitted
NA,Jack Zelezinski,Summer Creek (Humble	 TX),OG,6-5, 315 ,3,0.8165,McNeese State
NA,Trey Taylor,Lone Star (Frisco	 TX),S,6-0, 182 ,3,0.8165,Air Force
NA,Darius Hodges,Park Crossing (Montgomery	 AL),ILB,6-2, 245 ,3,0.8165,Tulane
NA,Dedrick Wilson,Kenedy  (Kenedy	 TX),ATH,6-1, 195 ,3,0.8165,Army
NA,Jacob Likes,Christian Brothers (Memphis	 TN),OG,6-3, 275 ,3,0.8165,Memphis
NA,Billy Lucas,Cathedral Prep (Erie	 PA),RB,5-11, 192 ,3,0.8165,Old Dominion
NA,Caiden Walker,Newton (Newton	 TX),OC,6-3, 285 ,3,0.8165,Stephen F. Austin
NA,Jade Ashalintubbi,Elysian Fields (Elysian Fields	 TX),OT,6-6, 299 ,3,0.8165,uncommitted
NA,Kobe Rios,Rock Island (Rock Island	 IL),OT,6-6, 300 ,3,0.8165,Northern Iowa
NA,Jack Bradley,Bishop Lynch (Dallas	 TX),TE,6-6, 230 ,3,0.8165,Rice
NA,Armonie Brown,Refugio (Refugio	 TX),SDE,6-3, 250 ,3,0.8165,UTEP
NA,Noah Smith,Cy Ridge (Houston	 TX),WR,5-9.5, 170 ,3,0.8165,Sam Houston State
NA,John Gordon McKernan,University Lab (Baton Rouge	 LA),PRO,6-1.5, 195 ,3,0.8165,uncommitted
NA,Davion Wheeler,South Oak Cliff (Dallas	 TX),WDE,6-2, 220 ,3,0.8165,uncommitted
NA,Caleb Blake,Bishop Moore Catholic (Orlando	 FL),CB,6-1, 171 ,3,0.8164,Colorado State
NA,Kameren Stewart,Dutch Fork (Irmo	 SC),OT,6-6, 240 ,3,0.8164,Coastal Carolina
NA,Jack Sherwin,Central (Traverse City	 MI),SDE,6-4, 230 ,3,0.8160,Western Michigan
NA,Dewayne Grantham,Martinsburg (Martinsburg	 WV),OLB,6-0, 195 ,3,0.8160,uncommitted
NA,Adam Derry,Beechwood (Ft Mitchell	 KY),OC,6-3, 275 ,3,0.8160,Middle Tennessee State
NA,Suddin Sapien,Midland (Midland	 TX),PRO,6-4, 221 ,3,0.8160,UTSA
NA,Adrian Cole,Plantation (Fort Lauderdale	 FL),CB,5-10, 156 ,3,0.8160,Syracuse
NA,Javon Solomon,Amos P. Godby (Tallahassee	 FL),OLB,6-1, 215 ,3,0.8159,Troy
NA,Dee Baker,Northwest Rankin (Flowood	 MS),RB,6-0, 170 ,3,0.8159,Southern Miss
NA,Rodney Thompson,Prattville (Prattville	 AL),WDE,6-2, 230 ,3,0.8155,Middle Tennessee State
NA,Marquel Tinsley,Daviess County (Owensboro	 KY),WR,6-2, 210 ,3,0.8154,Middle Tennessee State
NA,Deavyn Woullard,Mission Viejo (Mission Viejo	 CA),WR,5-11, 175 ,3,0.8154,Air Force
NA,Ricky Barber,Doss Magnet Career Academy (Louisville	 KY),SDE,6-2, 267 ,3,0.8154,Western Kentucky
NA,AJ Vongphachanh,Chiawana (Pasco	 WA),OLB,6-3, 230 ,3,0.8154,Utah State
NA,Michael Love,Nazareth Academy (La Grange Park	 IL),RB,5-9.5, 175 ,3,0.8154,Northern Illinois
NA,Mike McNicholas,Montini Catholic (Lombard	 IL),OG,6-4, 310 ,3,0.8154,Kent State
NA,Kevin Pointer,Jonesboro (Jonesboro	 AR),DT,6-1, 295 ,3,0.8154,Louisiana-Monroe
NA,Kadyn Roach,Magnolia (Magnolia	 AR),RB,6-0, 197 ,3,0.8154,Louisiana-Monroe
NA,Aidan Cullen,Palmer Ridge (Monument	 CO),SDE,6-5, 245 ,3,0.8154,Colorado State
NA,Shakobe Harper,Mater Dei (Santa Ana	 CA),APB,5-7, 180 ,3,0.8154,Cal Poly
NA,Zach Bowers,Chandler (Chandler	 AZ),ILB,6-0, 215 ,3,0.8154,Hawaii
NA,Elijah Downing,Ballard (Louisville	 KY),WR,6-3, 185 ,3,0.8154,Murray State
,,,,,,0,,uncommitted
NA,Dawaiian McNeely,Central Catholic (Modesto	 CA),S,6-2, 200 ,3,0.8154,Wyoming
NA,Derrick Rose,Sachse (Sachse	 TX),WR,6-2, 178 ,3,0.8154,uncommitted
NA,Tyrek Presley,Charles Drew (Riverdale	 GA),WR,6-2, 192 ,3,0.8154,Tulane
NA,Kiaeem Green,Warren Easton (New Orleans	 LA),WR,6-3, 206 ,3,0.8154,uncommitted
NA,Jordan Veneziale,North Paulding (Dallas	 GA),ILB,6-1, 220 ,3,0.8154,Georgia State
NA,Steve Jenkins,Narbonne (Harbor City	 CA),WR,5-11, 155 ,3,0.8154,UNLV
NA,Anthony Collier,East Nashville Magnet School (Nashville	 TN),SDE,6-3, 269 ,3,0.8154,Miami (OH)
NA,Cam Mattox,Hillcrest (Country Club Hills	 IL),WDE,6-3, 215 ,3,0.8154,Northern Illinois
NA,C.J. Jackson,Hermitage (Richmond	 VA),RB,5-10, 190 ,3,0.8154,James Madison
NA,Demarcus Governor,Durant (Plant City	 FL),CB,6-0, 181 ,3,0.8154,Central Michigan
NA,Corey Crooms,Hillcrest (Country Club Hills	 IL),WR,5-11, 170 ,3,0.8154,Western Michigan
NA,Jett Elad,St Ignatius (Cleveland	 OH),CB,6-0, 180 ,3,0.8154,Ohio
NA,Daylen Powell,Summerville (Summerville	 SC),OT,6-4, 285 ,3,0.8154,Western Kentucky
NA,Jack Lookabaugh,Coppell (Coppell	 TX),OT,6-5, 285 ,3,0.8154,Wyoming
NA,Jacoby Sharpe,Lanier (Buford	 GA),SDE,6-3, 240 ,3,0.8154,Temple
NA,Thomas Aronokhale,Linsley School (Wheeling	 WV),OG,6-3, 275 ,3,0.8154,Ohio
NA,Gelique Williams,First Coast (Jacksonville	 FL),CB,6-1, 184 ,3,0.8154,Bethune-Cookman
NA,Jacoby Windmon,John Ehret (Marrero	 LA),ILB,6-1, 215 ,3,0.8154,UNLV
NA,Nathan White,Edgewater (Orlando	 FL),WDE,6-4, 215 ,3,0.8154,FIU
NA,Xavier Curry,Meridian (Meridian	 MS),OLB,6-0, 205 ,3,0.8154,Louisiana-Monroe
NA,Avery Reece,Belton Honea Path (Honea Path	 SC),OC,6-3, 273 ,3,0.8154,Georgia State
NA,Micah Abraham,East Lake (Bradenton	 FL),CB,5-10, 175 ,3,0.8154,Marshall
NA,Kajuan Robinson,Bryant (Bryant	 AR),DT,6-2, 300 ,3,0.8154,Memphis
NA,Kamareon Williams,Atlantic (Delray Beach	 FL),TE,6-3, 245 ,3,0.8154,FIU
NA,Shawn Nielsen,J Serra Catholic (San Juan Capistrano	 CA),SDE,6-2, 255 ,3,0.8153,San Diego State
NA,Patrick Paul,Jersey Village (Houston	 TX),OT,6-7, 315 ,3,0.8153,Houston
NA,Richie Hagarty,Cathedral (Indianapolis	 IN),OLB,6-3, 230 ,3,0.8152,Miami (OH)
NA,Ricky Kofoed,Charlotte Christian (Charlotte	 NC),TE,6-3, 221 ,3,0.8152,Appalachian State
NA,Malik Jackson,Meade Senior (Fort George G Meade	 MD),TE,6-4, 225 ,3,0.8147,Maryland
NA,Jerome Henderson,McDowell (Erie	 PA),SDE,6-6, 235 ,3,0.8146,Toledo
NA,Elija Griffin,Harper Woods (Detroit	 MI),CB,5-11, 165 ,3,0.8146,Toledo
NA,Joshua Blanchard,Norland (Miami	 FL),OG,6-3, 279 ,3,0.8146,USF
NA,Lokahi Pauole,Kamehameha (HONOLULU	 HI),OT,6-3, 320 ,3,0.8143,UCF
NA,Ontario Russell,Lee's Summit North (Lees Summit	 MO),RB,6-0, 205 ,3,0.8143,Miami (OH)
NA,Jamie Ferguson,James Madison (San Antonio	 TX),SDE,6-2.5, 230 ,3,0.8143,uncommitted
NA,Xavier Malone,Fulton (Knoxville	 TN),PRO,6-3, 198 ,3,0.8143,uncommitted
NA,Tyrik Henderson,St. Thomas More (Carol Stream	 IL),CB,5-11, 165 ,3,0.8143,Northern Illinois
NA,Rahmod Smith,Homestead  (Homestead	 FL),TE,6-4.5, 202 ,3,0.8143,Florida Atlantic
NA,Larry Smith,Norland (Miami	 FL),ILB,5-11, 203 ,3,0.8143,UAB
NA,Jeremiah Ashe,Freedom (Tampa	 FL),S,6-2, 200 ,3,0.8143,Florida Atlantic
NA,Jermaine Donaldson,Eastern (Voorhees	 NJ),OG,6-4, 320 ,3,0.8142,Temple
NA,Tiger Peterson,Kamehameha (Honolulu	 HI),OLB,6-0, 199 ,3,0.8142,Hawaii
NA,Lyle Hiers,Lake Wales (Lake Wales	 FL),OT,6-5, 275 ,3,0.8140,Appalachian State
NA,Tristen Bittner,Wheeling Park (Wheeling	 WV),OT,6-4, 295 ,3,0.8140,Marshall
NA,Christian Wells,University School (Fort Lauderdale	 FL),WR,6-1, 170 ,3,0.8139,Appalachian State
NA,Markel McLaurin,Collins (Collins	 MS),ATH,5-11, 175 ,3,0.8139,Southern Miss
NA,Eyin Cole,Niceville (Niceville	 FL),WR,6-2, 200 ,3,0.8139,Florida Atlantic
NA,Collin Schlee,Oakdale (Ijamsville	 MD),PRO,6-3, 180 ,3,0.8138,Kent State
NA,Cedric Claiborne,Westfield (Houston	 TX),OT,6-4, 285 ,3,0.8134,UTSA
NA,Alan Orona,La Grange (La Grange	 TX),K,5-11, 165 ,3,0.8128,uncommitted
,,,,,,0,,uncommitted
NA,Tre Caldwell,Southeast Guilford (Greensboro	 NC),CB,5-10, 194 ,3,0.8127,Appalachian State
NA,Tahron Sims,St. Lucie West Centennial (Port Saint Lucie	 FL),S,6-1, 180 ,3,0.8126,uncommitted
NA,Steven Losoya,Overton (Nashville	 TN),OG,6-4, 300 ,3,0.8126,Middle Tennessee State
NA,Cory Munson,Northside (Warner Robins	 GA),K,6-3, 185 ,3,0.8126,Western Kentucky
NA,Tre' Ross,Hillcrest (Tuscaloosa	 AL),ATH,6-2, 210 ,3,0.8126,Troy
NA,Patrick Szczesniak,Mount Carmel (Chicago	 IL),LS,6-2, 215 ,3,0.8125,Army
NA,Keiran Grant,Cuero (Cuero	 TX),RB,5-10, 168 ,3,0.8125,Army
NA,Michael Lantz,Starrs Mill (Fayetteville	 GA),K,6-0, 178 ,3,0.8122,Minnesota
NA,Kenneth Walker,Arlington (Arlington	 TN),RB,5-9.5, 191 ,3,0.8122,Wake Forest
NA,Craig McFarland,Chaparral (Scottsdale	 AZ),OT,6-5, 275 ,3,0.8121,Appalachian State
NA,Marley Cook,Water Valley (Water Valley	 MS),OC,6-2, 265 ,3,0.8120,Middle Tennessee State
NA,Joshua Kelly,San Joaquin Memorial (Fresno	 CA),WR,6-1.5, 180 ,3,0.8120,Fresno State
NA,Ishmael Goulbourne,Dwyer (Palm Beach Gardens	 FL),WDE,6-3, 195 ,3,0.8119,Syracuse
NA,Logan Maxwell,Higley (Gilbert	 AZ),WDE,6-4, 210 ,3,0.8118,uncommitted
NA,Mike Coleman,Woodland Hills (Pittsburgh	 PA),CB,5-11, 155 ,3,0.8118,Toledo
NA,Jermaine Johnson,DeMatha Catholic (Hyattsville	 MD),CB,5-10, 165 ,3,0.8118,Massachusetts
NA,Taylor Harris,Woodbridge (Woodbridge	 VA),CB,5-9, 180 ,3,0.8118,uncommitted
NA,Kameron Brown,Lanier (Buford	 GA),ILB,6-0, 222 ,3,0.8118,Auburn
NA,Xavier Goldsmith,Cass Technical (Detroit	 MI),CB,5-8, 160 ,3,0.8114,Colorado State
NA,Montavious Brini,IMG Academy (Bradenton	 FL),ATH,6-0, 209 ,3,0.8114,uncommitted
NA,Taj Jones,Pope John XXIII (Paterson	 NJ),WR,6-1.5, 201 ,3,0.8114,Massachusetts
NA,Omar Rogers,Burlington Twp (Burlington	 NJ),CB,5-11, 180 ,3,0.8114,Elon
NA,Ricardo Watson,Armwood (Seffner	 FL),ILB,5-10, 243 ,3,0.8114,uncommitted
NA,Daniel Richardson,Miami Carol City (Hollywood	 FL),DUAL,5-11, 198 ,3,0.8114,Central Michigan
NA,Griffin Helm,Bartram Trail (Jacksonville	 FL),ATH,5-11, 170 ,3,0.8114,New Hampshire
NA,Desmond Dorceus,Fort Lauderdale (Fort Lauderdale	 FL),WDE,6-3, 230 ,3,0.8114,Air Force
NA,Prince-Elijah Degroat,Curtis (Staten Island	 NY),S,6-0, 165 ,3,0.8114,Fordham
NA,Gerald Drumgoole,La Lumiere School (Rochester	 NY),TE,6-6, 195 ,3,0.8114,uncommitted
