ranking,name,highSchool,position,height,weight,stars,rating,college
88,Tyron Hopper,Roswell (Roswell	 GA),OLB,6-2, 197 ,4,0.9595,Florida
89,Rian Davis,Wekiva (Apopka	 FL),OLB,6-1.5, 240 ,4,0.9590,Georgia
90,Mark-Antony Richards,Wellington (West Palm Beach	 FL),ATH,6-1, 195 ,4,0.9589,Auburn
91,Jeffery Carter,Mansfield Legacy (Mansfield	 TX),CB,6-0, 186 ,4,0.9588,Alabama
92,Adisa Isaac,Canarsie (Brooklyn	 NY),WDE,6-5, 220 ,4,0.9584,Penn State
93,Sam Howell,Sun Valley (Monroe	 NC),DUAL,6-0, 225 ,4,0.9582,North Carolina
94,Mycah Pittman,Calabasas (Calabasas	 CA),WR,5-11, 195 ,4,0.9578,Oregon
95,Zeke Correll,Anderson (Cincinnati	 OH),OC,6-4, 285 ,4,0.9578,Notre Dame
96,Erick Young,Fort Bend Bush (Richmond	 TX),CB,6-0, 208 ,4,0.9576,Texas A&M
97,Kardell Thomas,Southern University Lab School (Baton Rouge	 LA),OG,6-2.5, 356 ,4,0.9572,LSU
98,Noah Cain,IMG Academy (Bradenton	 FL),RB,5-10, 208 ,4,0.9568,Penn State
99,Marquez Beason,Duncanville (Duncanville	 TX),ATH,5-10, 177 ,4,0.9564,Illinois
100,Jaren Handy,Hattiesburg (Hattiesburg	 MS),SDE,6-5, 278 ,4,0.9560,Auburn
,,,,,,0,,uncommitted
101,William Putnam,Plant (Tampa	 FL),OG,6-3.5, 295 ,4,0.9555,Clemson
102,Brandon Turnage,Lafayette (Oxford	 MS),CB,6-1, 185 ,4,0.9548,Alabama
103,Treylon Burks,Warren (Warren	 AR),WR,6-3, 225 ,4,0.9544,Arkansas
104,Keon Zipperer,Lakeland (Lakeland	 FL),TE,6-2, 240 ,4,0.9543,Florida
105,Mazi Smith,East Kentwood (Grand Rapids	 MI),DT,6-3, 290 ,4,0.9536,Michigan
106,Doug Nester,Spring Valley (Huntington	 WV),OG,6-6.5, 305 ,4,0.9519,Virginia Tech
107,Tyler Owens,Plano East (Plano	 TX),S,6-2, 197 ,4,0.9513,Texas
108,Trente Jones,Grayson (Loganville	 GA),OT,6-6, 282 ,4,0.9512,Michigan
109,Mohamoud Diabate,Auburn (Auburn	 AL),OLB,6-3, 215 ,4,0.9510,Florida
110,Christian Harris,University Lab (Baton Rouge	 LA),ILB,6-1.5, 235 ,4,0.9506,Alabama
111,Ramel Keyton,Marietta (Marietta	 GA),WR,6-3, 185 ,4,0.9503,Tennessee
112,Trey Palmer,Kentwood (Kentwood	 LA),WR,6-0, 179 ,4,0.9499,LSU
113,David Bell,Warren Central (Indianapolis	 IN),WR,6-1, 200 ,4,0.9495,Purdue
114,Cade Stover,Lexington (Mansfield	 OH),OLB,6-5, 235 ,4,0.9487,Ohio State
115,Ronnie Hickman,DePaul Catholic (Wayne	 NJ),S,6-1, 200 ,4,0.9485,Ohio State
116,Isaiah Williams,Trinity Catholic (Saint Louis	 MO),ATH,5-9.5, 170 ,4,0.9479,Illinois
117,Brendan Gant,Kathleen (Lakeland	 FL),S,6-1, 192 ,4,0.9477,Florida State
118,Quinn Carroll,Edina Senior (Minneapolis	 MN),OT,6-6, 295 ,4,0.9472,Notre Dame
119,Austin Jones,Bishop O'Dowd (Oakland	 CA),RB,5-10, 195 ,4,0.9471,Stanford
120,John Dunmore,Chaminade-Madonna Prep (Hollywood	 FL),WR,6-2, 172 ,4,0.9469,Penn State
121,Austin Stogner,Prestonwood Christian (Plano	 TX),TE,6-6, 235 ,4,0.9467,Oklahoma
122,Trezmen Marshall,Clinch County (Homerville	 GA),ILB,6-0, 236 ,4,0.9464,Georgia
123,Kevin Harris,Grayson (Loganville	 GA),WDE,6-4, 228 ,4,0.9463,Alabama
124,Enokk Vimahi,Kahuku (Kahuku	 HI),OG,6-4.5, 263 ,4,0.9445,Ohio State
125,Branson Bragg,Crandall (Crandall	 TX),OC,6-4, 308 ,4,0.9444,Stanford
126,Trent McDuffie,St. John Bosco (Bellflower	 CA),CB,5-11, 187 ,4,0.9442,Washington
127,Marcus Banks,Dekaney (Houston	 TX),CB,6-0, 166 ,4,0.9441,Alabama
128,Laiatu Latu,Jesuit (Carmichael	 CA),WDE,6-4, 272 ,4,0.9435,Washington
129,Maurice Hampton,Memphis University School (Memphis	 TN),CB,6-0, 205 ,4,0.9432,LSU
130,Sheridan Jones,Maury (Norfolk	 VA),CB,6-1, 175 ,4,0.9429,Clemson
131,Kenyatta Watson II,Grayson (Loganville	 GA),CB,6-2, 182 ,4,0.9427,Texas
132,Hudson Henry,Pulaski Academy (Little Rock	 AR),TE,6-5, 230 ,4,0.9423,Arkansas
133,Zion Puckett,Spalding (Griffin	 GA),S,6-0, 200 ,4,0.9420,Auburn
134,Joseph Anderson,Oakland (Murfreesboro	 TN),SDE,6-4, 268 ,4,0.9412,South Carolina
135,Lance Wilhoite,Franklin Road Academy (Nashville	 TN),WR,6-2.5, 186 ,4,0.9412,Oregon
136,Puka Nacua,Orem (Orem	 UT),WR,6-2, 190 ,4,0.9404,Washington
137,Tyler Davis,Wekiva (Apopka	 FL),DT,6-1, 293 ,4,0.9401,Clemson
138,Siaki Ika,East (Salt Lake City	 UT),DT,6-2.5, 372 ,4,0.9400,LSU
139,Tyrion Davis,Southern University Lab School (Baton Rouge	 LA),RB,6-1, 235 ,4,0.9399,LSU
140,Arjei Henderson,Fort Bend Travis (Richmond	 TX),WR,6-1, 183 ,4,0.9395,Florida
141,Stephen Herron Jr.,Trinity (Louisville	 KY),WDE,6-3.5, 238 ,4,0.9389,Stanford
142,Travis Jay,Madison County (Madison	 FL),CB,6-1, 185 ,4,0.9388,Florida State
143,Sean Dollars,Mater Dei (Santa Ana	 CA),APB,5-10, 185 ,4,0.9387,Oregon
144,Keiondre Jones,Callaway (Hogansville	 GA),OG,6-4, 341 ,4,0.9385,Auburn
145,Marcus Washington,Trinity Catholic (Saint Louis	 MO),WR,6-2, 191 ,4,0.9384,Texas
146,Nick Henrich,Burke (Omaha	 NE),ILB,6-4, 210 ,4,0.9383,Nebraska
147,Noa Pola-Gates,Williams Field (Gilbert	 AZ),CB,5-11, 165 ,4,0.9379,Nebraska
148,Derick Hall,Gulfport (Gulfport	 MS),WDE,6-3.5, 216 ,4,0.9378,Auburn
149,Joseph Charleston,Milton (Alpharetta	 GA),S,6-2, 190 ,4,0.9376,Clemson
150,Cameron Smith,Westwood (Blythewood	 SC),CB,6-1, 168 ,4,0.9366,South Carolina
,,,,,,0,,uncommitted
151,Diwun Black,Osceola (Kissimmee	 FL),ILB,6-3.5, 216 ,4,0.9356,Florida
152,Isaiah Spiller,Klein Collins (Spring	 TX),RB,6-0.5, 201 ,4,0.9351,Texas A&M
153,Bryce Benhart,Lakeville North (Lakeville	 MN),OT,6-9, 287 ,4,0.9349,Nebraska
154,Ray Parker,Ruston (Ruston	 LA),OT,6-5, 270 ,4,0.9341,LSU
155,Dannis Jackson,Sumrall  (Sumrall	 MS),WR,6-1, 187 ,4,0.9333,Ole Miss
156,Jaylen McCollough,Hillgrove (Powder Springs	 GA),S,6-0, 194 ,4,0.9331,Tennessee
157,Jaquaze Sorrells,Winter Park (Orlando	 FL),DT,6-2.5, 310 ,4,0.9331,South Carolina
158,King Mwikuta,Troup County (West Point	 GA),WDE,6-5, 240 ,4,0.9330,Alabama
159,Donte Starks,John Ehret (Marrero	 LA),ILB,6-1, 225 ,4,0.9330,LSU
160,Christian Williams,Daphne (Daphne	 AL),CB,6-1, 182 ,4,0.9328,Miami
161,Bill Norton,Christian Brothers (Memphis	 TN),SDE,6-6, 275 ,4,0.9326,Georgia
162,Jaden Payoute,Lloyd C. Bird (Chesterfield	 VA),ATH,6-2, 195 ,4,0.9326,Virginia Tech
163,Jeremiah Criddell,Mater Dei (Santa Ana	 CA),S,5-11, 188 ,4,0.9325,Oklahoma
164,Braylen Ingraham,St. Thomas Aquinas (Fort Lauderdale	 FL),SDE,6-4, 260 ,4,0.9321,Alabama
165,David Gbenda,Cinco Ranch (Katy	 TX),ILB,6-0, 218 ,4,0.9313,Texas
166,Devonta Lee,Amite (Amite	 LA),ATH,6-2, 212 ,4,0.9312,LSU
167,Dontae Lucas,IMG Academy (Miami	 FL),OG,6-3, 323 ,4,0.9310,Florida State
168,Savion Jackson,Clayton (Clayton	 NC),SDE,6-3, 260 ,4,0.9309,N.C. State
169,Brayden Liebrock,Chandler (Chandler	 AZ),TE,6-5, 220 ,4,0.9307,Texas
170,Bryton Constantin,University Lab (Baton Rouge	 LA),OLB,6-2.5, 207 ,4,0.9304,Clemson
171,Dylan Morris,Graham-Kapowsin (Graham	 WA),PRO,6-1, 195 ,4,0.9304,Washington
172,Jacob Lacey,South Warren (Bowling Green	 KY),DT,6-2, 285 ,4,0.9304,Notre Dame
173,Stacey Wilkins,Camden Fairview (Camden	 AR),OT,6-5, 284 ,4,0.9298,Oklahoma
174,Nolan Rumler,Archbishop Hoban (Akron	 OH),OG,6-4, 290 ,4,0.9295,Michigan
175,Cornelius Johnson,Brunswick School (Greenwich	 CT),WR,6-2, 195 ,4,0.9294,Michigan
176,Trevor Keegan,Crystal Lake South (Crystal Lake	 IL),OT,6-6, 310 ,4,0.9288,Michigan
177,Darrian Dalcourt,St. Frances Academy (Baltimore	 MD),OG,6-3, 290 ,4,0.9285,Alabama
178,Ty Robinson,Higley (Gilbert	 AZ),SDE,6-5, 283 ,4,0.9284,Nebraska
179,Lance Dixon,West Bloomfield (West Bloomfield	 MI),OLB,6-2, 201 ,4,0.9276,Penn State
180,Taulia Tagovailoa,Thompson (Alabaster	 AL),PRO,5-11, 214 ,4,0.9269,Alabama
181,Sampson James,Avon (Avon	 IN),RB,6-1, 211 ,4,0.9255,Indiana
182,De'Monte Russell,Provine (Jackson	 MS),WDE,6-4, 216 ,4,0.9255,Mississippi State
183,Andrew Kristofic,Pine-Richland (Gibsonia	 PA),OT,6-5, 282 ,4,0.9254,Notre Dame
184,Eric Gray,Lausanne Collegiate School (Memphis	 TN),APB,5-9.5, 194 ,4,0.9244,Tennessee
185,John Olmstead,Saint Joseph (Metuchen	 NJ),OT,6-6, 300 ,4,0.9242,Notre Dame
186,Max Williams,Junipero Serra (Gardena	 CA),CB,5-8, 173 ,4,0.9235,USC
187,Kenny McIntosh,University School (Fort Lauderdale	 FL),RB,6-0.5, 218 ,4,0.9233,Georgia
