ranking,name,highSchool,position,height,weight,stars,rating,college
NA,Devin Leacock,Port Charlotte (Port Charlotte, FL),DT,6-3,270,3,0.8254,USF
NA,Thomas Yassmin,The Scot's College (Australia, AUST),ATH,6-4,230,3,0.8254,Utah
NA,Aaron Gethers,Bishop McDevitt (Harrisburg, PA),CB,5-11,185,3,0.8254,Boston College
NA,Quinn Brinnon,Bishop O'Dowd (Oakland, CA),S,6-0,185,3,0.8254,Colorado State
NA,Jailen Bailey,Lincoln (San Diego, CA),WR,5-10,180,3,0.8252,Arizona
NA,Jordan McCloud,Plant (Tampa, FL),DUAL,6-0,175,3,0.8249,USF
NA,Dion Bergan,Osceola (Kissimmee, FL),DT,6-2,265,3,0.8249,Wake Forest
NA,Delano Ware,El Cerrito (El Cerrito, CA),CB,6-0,190,3,0.8248,Illinois
NA,Peyton Sawyer,Clear Springs (League City, TX),WR,5-10,160,3,0.8248,Houston
NA,Cagan Campbell,Hillcrest (Tuscaloosa, AL),CB,5-10,170,3,0.8244,Jacksonville State
NA,Nicolas Sciba,Clover (Clover, SC),K,5-9,160,3,0.8242,Wake Forest
NA,Quindell Johnson,Edna Karr (New Orleans, LA),S,6-0,185,3,0.8242,Memphis
NA,Brandon Derrow,St. Francis De Sales (Columbus, OH),SDE,6-4,243,3,0.8241,Colorado State
NA,Viliami Tausinga,East (Salt Lake City, UT),ILB,6-1,210,3,0.8240,Brigham Young
NA,Nick Henkel,Brunswick School (Greenwich, CT),PRO,6-4,180,3,0.8236,Yale
NA,Gabe Lemons,Coppell (Coppell, TX),ATH,6-2,175,3,0.8235,Oklahoma State
NA,Kyiev Bennermon,Spackenkill (Poughkeepsie, NY),DT,6-4,280,3,0.8235,Boston College
NA,Nathan Boe,Lakeville North (Lakeville, MN),OC,6-4,250,3,0.8234,Minnesota
NA,Robin Jutwreten,Sweden (Sweden, SWED),WDE,6-4,235,3,0.8231,Rutgers
NA,Clayton Franks,Mansfield Legacy (Mansfield, TX),OG,6-4,290,3,0.8228,Texas Tech
NA,Micah Mariteragi,Kahuku (Kahuku, HI),OT,6-5,265,3,0.8227,Virginia
NA,Antwain Walker,Oswego East (Oswego, IL),CB,6-1,176,3,0.8227,Northern Illinois
NA,Lee Payton,River Rouge (River Rouge, MI),TE,6-3,220,3,0.8227,Western Michigan
NA,Cedric Banks,Southern University Lab School (Baton Rouge, LA),OC,6-2,320,3,0.8226,Tennessee State
NA,Jake Hardage,Pocahontas (Pocahontas, AR),OG,6-6,339,3,0.8226,uncommitted
NA,Chris Scott,Natchez (Natchez, MS),PRO,6-2,185,3,0.8226,uncommitted
NA,Devin Haney,Park Hill (Kansas City, MO),CB,6-2,165,3,0.8226,Northern Illinois
NA,Mason Parris,Lawrenceburg (Lawrenceburg, IN),ILB,6-2,220,3,0.8226,uncommitted
NA,Alex Jacobs,Cy Ridge (Houston, TX),RB,6-0,205,3,0.8226,uncommitted
NA,Dayonte Roberts,Cabot (Cabot, AR),DT,6-2,280,3,0.8226,Louisiana-Monroe
NA,Dalrone Donaldson,Coffee (Douglas, GA),WR,6-3,187,3,0.8226,uncommitted
NA,Marco Brewer,Corvallis (Corvallis, OR),OG,6-4,280,3,0.8225,uncommitted
NA,Jason Maitre,Everett (Everett, MA),ATH,5-9,160,3,0.8224,Boston College
NA,Josh Jynes,DeSoto (DeSoto, TX),OC,6-2,312,3,0.8222,Colorado
NA,Alondras Strong,IMG Academy (Bradenton, FL),S,5-11,180,3,0.8222,UAB
NA,Jordan Underwood,Olympia (Apopka, FL),WR,6-0,174,3,0.8218,FIU
NA,Ethan Edmondson,Scottsboro Sch (Scottsboro, AL),SDE,6-3.5,246,3,0.8215,Southern Miss
NA,Anthony Goodlow,Del City (Oklahoma City, OK),OLB,6-5,230,3,0.8215,Tulsa
NA,Larry Dixon,Hahnville (Boutte, LA),OG,6-4,331,3,0.8215,uncommitted
NA,Jacob Doddridge,Southlake Carroll (Southlake, TX),FB,6-2.5,220,3,0.8215,Rice
NA,Cade Barnard,Seminole (Seminole, TX),ILB,6-2,220,3,0.8215,Army
NA,Mykel Gates,Carthage (Carthage, TX),ILB,6-0,216,3,0.8215,uncommitted
NA,Keitha Jones,Memorial (Port Arthur, TX),ATH,6-1,180,3,0.8215,Tulane
NA,Myles Berry,Dudley (Greensboro, NC),S,6-1,190,3,0.8215,East Carolina
NA,Kameron Butler,Covington Catholic (Alexandria, KY),WDE,6-3,233,3,0.8215,Miami (OH)
NA,Jaden Hill,Ashdown (Ashdown, AR),PRO,6-2,185,3,0.8215,uncommitted
NA,Zion Custis,Lovejoy (Hampton, GA),RB,5-7,178,3,0.8215,uncommitted
NA,Evan Lovell,The Peddie School (Thomaston, CT),OT,6-5,308,3,0.8215,Rhode Island
NA,Luke Martin,Fishers (Fishers, IN),OG,6-4,295,3,0.8215,Ball State
NA,Spencer Gaddis,Alpharetta (Alpharetta, GA),WR,6-0,165,3,0.8215,Western Kentucky
NA,Trace Clopton,Brookhaven (Brookhaven, MS),OC,6-2,292,3,0.8215,Southern Miss
NA,Lucas Nunez,Cardinal Hayes (Bronx, NY),WR,5-8,170,3,0.8215,Sacred Heart
NA,TK Wilkerson,Skiatook (Skiatook, OK),RB,6-2,210,3,0.8215,Tulsa
NA,Terry Hampton,El Dorado (El Dorado, AR),DT,5-11.5,254,3,0.8215,Arkansas State
NA,Steven Peterson,Harrison (Kennesaw, GA),WR,6-2,183,3,0.8215,Coastal Carolina
NA,Oliver Nasilai,Jessieville (Springdale, AR),ILB,6-0,245,3,0.8215,Brigham Young
NA,Ronnie Audette,Elk River Senior (Elk River, MN),OT,6-3,310,3,0.8215,Oregon State
NA,Cornelius McCoy,Deerfield Beach (Deerfield Beach, FL),WR,5-11,170,3,0.8215,Georgia State
NA,Willie Lane,Winter Haven Senior (Winter Haven, FL),DT,6-3,247,3,0.8215,Purdue
NA,Nick Carey,Catholic Central (Novi, MI),OT,6-7,290,3,0.8214,Toledo
NA,Alijah Allen,Buena Park (Buena Park, CA),ATH,6-2,180,3,0.8210,uncommitted
NA,Caleb Lynum,East Ridge (Leesburg, FL),PRO,6-2,195,3,0.8210,FIU
NA,Sean Chambers,Kerman (Kerman, CA),DUAL,6-3,215,3,0.8206,Wyoming
NA,Payne Durham,Peachtree Ridge (Suwanee, GA),TE,6-5,250,3,0.8205,Purdue
NA,Xavier Smith,Brooke Point (Stafford, VA),ILB,6-1,235,3,0.8204,East Carolina
NA,Kaleb Smith,Patrick Henry (Ashland, VA),WR,6-3,190,3,0.8204,Virginia Tech
NA,Trae Shropshire,Zachary (Zachary, LA),WR,6-3,175,3,0.8204,uncommitted
NA,Ryan Malbrough,Cecilia (Carencro, LA),S,6-0,200,3,0.8204,Kansas
NA,Brandon Davis,John Curtis (New Orleans, LA),CB,5-11,160,3,0.8204,Tennessee
NA,Preston Ellison,Permian (Odessa, TX),OLB,6-3,205,3,0.8204,SMU
NA,Imani Partlow,Jones (Orlando, FL),CB,5-10,180,3,0.8204,uncommitted
NA,Dyllon Lester,American Heritage (Fort Lauderdale, FL),CB,6-0,190,3,0.8204,UCF
NA,Matt Lawson,Colony (Ontario, CA),DT,6-2,290,3,0.8204,Fresno State
NA,Tyler Casados,La Habra (La Habra, CA),OG,6-3,270,3,0.8204,uncommitted
NA,Brayden Cosper,Bingham (South Jordan, UT),WR,6-3,195,3,0.8204,Brigham Young
NA,Henry Thomas,Fort Bend Marshall (Missouri City, TX),WR,5-11,175,3,0.8204,Houston
NA,Russell Brown,Lehigh Senior (Lehigh Acres, FL),WR,6-3,180,3,0.8204,Western Kentucky
NA,Trey Livingood,Madison Southern (Berea, KY),OG,6-3,290,3,0.8204,Marshall
NA,Mario Wright,Homewood-Flossmoor (Flossmoor, IL),ILB,6-2,205,3,0.8204,Western Kentucky
NA,Kenneth Brown,Fort Dorchester (North Charleston, SC),ILB,6-2,235,3,0.8204,uncommitted
NA,Talan Alfrey,Auburn Mountainview (Auburn, WA),S,6-3,185,3,0.8204,Brigham Young
NA,Reggie Jennings,Brookfield Central (Brookfield, WI),OLB,6-1,210,3,0.8204,Northern Illinois
NA,Lamont Finnie Jr.,Miami Senior (Miami, FL),ATH,5-10,170,3,0.8204,uncommitted
NA,Jayden Reed,Metea Valley (Aurora, IL),WR,5-11,155,3,0.8204,Western Michigan
NA,Marquis Traylor,Brighton (Brighton, TN),OLB,6-1,208,3,0.8204,uncommitted
NA,Braden Collins,Farragut (Knoxville, TN),WR,6-2,195,3,0.8204,Appalachian State
NA,Amir Brummett,MacArthur (Decatur, IL),ATH,6-3,185,3,0.8204,Northern Illinois
NA,Jyran Mitchell,Rich Central Campus (Olympia Fields, IL),DUAL,6-0,188,3,0.8204,Northern Illinois
NA,Antonio Fletcher,Martin Luther King Jr. (Lithonia, GA),WR,6-0,180,3,0.8204,Arkansas State
NA,Jay Person,Bradley Central (Cleveland, TN),ILB,6-3,208,3,0.8204,Appalachian State
NA,Darren Brown,Judson (Converse, TX),DT,6-3,280,3,0.8204,SMU
NA,Marquese Albert,John Curtis (New Orleans, LA),APB,5-8,185,3,0.8204,Idaho
NA,Zakk McKeehan,West Feliciana (Saint Francisville, LA),SDE,6-4,285,3,0.8202,Georgia Tech
NA,Jake Syptak,The Woodlands (The Woodlands, TX),OT,6-5,270,3,0.8201,Rice
NA,Michael Azevedo,Clairemont (San Diego, CA),SDE,6-4,250,3,0.8199,Princeton
NA,Kenden Robinson,Alameda (Alameda, CA),WR,6-3,175,3,0.8199,uncommitted
NA,Christian Swint,Compton (Compton, CA),CB,5-11,181,3,0.8199,uncommitted
NA,Armon Bailey,Vanden (Fairfield, CA),OLB,6-2,215,3,0.8199,Sacramento State
NA,Charlie Ryan,Montgomery Catholic Preparatory (Montgomery, AL),WDE,6-4,247,3,0.8199,uncommitted
NA,Carson Baker,Helix (La Mesa, CA),PRO,6-3,190,3,0.8199,San Diego State
NA,Hale Motu'apuaka,Punahou (Honolulu, HI),OLB,6-2,290,3,0.8199,Utah State
NA,Braydin Shipp,American Fork (American Fork, UT),OT,6-5.5,313,3,0.8199,Boise State
NA,Tu'u Afu,Alta (Sandy, UT),RB,5-11,215,3,0.8199,Idaho State
NA,Isaiah Ifanse,Bellevue (Bellevue, WA),RB,5-10,190,3,0.8199,Montana State
NA,Freddie Roberson,Rainier Beach (Seattle, WA),ATH,6-2,180,3,0.8199,Eastern Washington
NA,Level Price Jr.,St. John Bosco (Bellflower, CA),CB,5-10,170,3,0.8199,uncommitted
NA,Naveon Mitchell,Fort Bend Travis (Richmond, TX),APB,5-9,170,3,0.8199,New Mexico State
NA,Marquez Powell,Liberty (Henderson, NV),WR,6-2,174,3,0.8199,uncommitted
NA,Michael Naze,Catholic Memorial (Waukesha, WI),TE,6-3,224,3,0.8199,uncommitted
NA,Arthur Brantley,Riverview (Sarasota, FL),WR,6-2,165,3,0.8199,Austin Peay
NA,Sione Veikoso,Kailua (Kailua, HI),OG,6-6,290,3,0.8199,uncommitted
NA,Kwabena Bonsu,South Cobb (Avondale Estates, GA),DT,6-3,255,3,0.8199,Army
NA,Randall Harris,Walled Lake Western (Walled Lake, MI),CB,6-0,184,3,0.8199,Central Michigan
NA,Alonzo Clark,Fort Lauderdale (Fort Lauderdale, FL),WR,6-4,172,3,0.8199,uncommitted
NA,Howard Stewart,Cocoa (Cocoa, FL),ATH,6-0,210,3,0.8199,uncommitted
NA,Ricky Miezan,Episcopal (Alexandria, VA),ILB,6-3,238,3,0.8199,uncommitted
NA,Lance Lawson,Red Mountain (Mesa, AZ),WR,5-9,183,3,0.8199,Southern Utah
NA,Draycen Hall,Higley (Gilbert, AZ),APB,5-8,170,3,0.8199,Southern Utah
NA,Troy Henderson,Independence (Thompson's Station, TN),APB,5-10,180,3,0.8199,Liberty
NA,Harrison Taylor,Eagles Landing Christian Academy (McDonough, GA),OLB,6-4,240,3,0.8199,Appalachian State
NA,Eric Ellison,Banning (Banning, CA),RB,5-11.5,170,3,0.8199,uncommitted
NA,Donny Long,Norco (Norco, CA),OG,6-4,280,3,0.8199,Montana State
NA,Zailes Alexander,Choctawhatchee Senior (Fort Walton Beach, FL),WR,6-2,182,3,0.8199,uncommitted
NA,John Chenal,Grantsburg (Grantsburg, WI),ILB,6-3,225,3,0.8198,Wisconsin
NA,Chris Smith,Nanih Waiya Attendance Center (Louisville, MS),RB,5-9,180,3,0.8198,Louisiana
NA,Lonkevious McFadden,Pahokee (Pahokee, FL),WR,6-4,190,3,0.8198,Kent State
NA,Demauryon Holmes,Mansfield Legacy (Mansfield, TX),OLB,6-1,200,3,0.8198,TCU
NA,SaRodorick Thompson,Ranchview (Carrollton, TX),RB,6-0.5,192,3,0.8194,Texas Tech
NA,Bryand Rincher,Piper (Fort Lauderdale, FL),CB,5-9,160,3,0.8194,uncommitted
NA,Cameron Thomas,Carlsbad (Carlsbad, CA),WDE,6-5,235,3,0.8194,San Diego State
NA,Kyle Jones,Upland (Upland, CA),RB,5-10,190,3,0.8194,uncommitted
NA,Spencer Wells,Dawson (Pearland, TX),TE,6-4,230,3,0.8193,Houston
NA,Stacy Conner,Wylie (Wylie, TX),DUAL,6-5.5,175,3,0.8190,Brigham Young
NA,Jake Pinegar,Ankeny Centennial (Ankeny, IA),K,6-2,195,3,0.8190,Penn State
NA,Byron Perkins,De La Salle Institute (Chicago, IL),CB,6-2,175,3,0.8186,Purdue
NA,Tyler Days,Cicero-north Syracuse (Cicero, NY),ATH,6-1,185,3,0.8186,Boston College
NA,Barret Pickering,Hoover (Hoover, AL),K,6-0,175,3,0.8183,Nebraska
NA,Jordan Byrd,Manzano (Albuquerque, NM),ATH,5-9.5,166,3,0.8183,San Diego State
NA,Anthony Spurlock,Edna Karr (New Orleans, LA),WR,6-1,160,3,0.8181,Western Kentucky
NA,Jarrett Kingston,Anderson (Anderson, CA),OT,6-5,255,3,0.8181,Washington State
NA,Adetutu Daranijo,St. Thomas Aquinas (Fort Lauderdale, FL),S,5-10,186,3,0.8181,Akron
NA,Parker Bisek,Ryle (Union, KY),OG,6-4,285,3,0.8181,Toledo
NA,Bakari Jackson,Dunbar (Fort Myers, FL),OLB,6-1,207,3,0.8181,Marshall
NA,Elijah Ball,Ben Davis (Indianapolis, IN),CB,6-1,190,3,0.8180,Purdue
NA,Corey Hammett Jr.,Booker T. Washington (Miami, FL),RB,5-10.5,156,3,0.8176,uncommitted
NA,Ricky Williams Jr.,Blake (Tampa, FL),WDE,6-3,220,3,0.8176,uncommitted
NA,Jeremy Fowler,Manor (Manor, TX),WDE,6-1.5,226,3,0.8176,uncommitted
NA,Jaylon Allen,Atascocita (Humble, TX),OLB,6-2,215,3,0.8176,Memphis
NA,Jake Lynch,Fort Bend Travis (Richmond, TX),OLB,6-5,211,3,0.8176,Texas State
NA,Demetrice Holliday,Batesville (Batesville, AR),WR,6-0,200,3,0.8176,Arkansas State
NA,Eric Hegamin,The Bullis School (Potomac, MD),DT,6-2,260,3,0.8176,uncommitted
NA,Tremayn Stott,Good Counsel (Olney, MD),ATH,5-10,170,3,0.8176,uncommitted
NA,Derrick Nicholson,Northwestern (Miami, FL),OLB,6-2,210,3,0.8175,uncommitted
NA,Silas Robinson,Yoakum (Yoakum, TX),OT,6-4,300,3,0.8175,Arkansas
NA,Darrius Smith,Dawson (Pearland, TX),RB,5-9,170,3,0.8175,Arizona
NA,Joe Sparacio,First Baptist Academy (Naples, FL),ILB,6-0,215,3,0.8174,Boston College
NA,Nick Mihalic,Niles North (Skokie, IL),P,6-0,175,3,0.8174,Western Michigan
NA,Brady McBride,Coppell (Coppell, TX),PRO,6-0,189,3,0.8173,Memphis
NA,Jaylon Hutchings,Forney (Forney, TX),DT,6-1,270,3,0.8173,Texas Tech
NA,Shamaur McDowell,IMG Academy (Bradenton, FL),CB,5-11,184,3,0.8173,uncommitted
NA,Paxton Brooks,Airport (West Columbia, SC),K,6-5,170,3,0.8171,Tennessee
NA,Shamar Jones,Greater Johnstown (Johnstown, PA),DT,6-1,271,3,0.8168,Indiana
NA,Mac Copeland,Wichita Collegiate School (Wichita, KS),OT,6-5,250,3,0.8168,Kansas
NA,JeMarcus Burrell,Paul W Bryant (Cottondale, AL),CB,6-2,163,3,0.8165,Arkansas State
NA,Tyler Vitt,MacArthur (San Antonio, TX),PRO,6-1,202,3,0.8165,Texas State
NA,Braison Rudd,New Braunfels Christian Academy (New Braunfels, TX),WR,6-3,176,3,0.8165,Stephen F. Austin
NA,Andrew McGowan,Sinton (Sinton, TX),WR,6-2.5,193,3,0.8165,UTSA
NA,Jovan McConico,Garfield (Seattle, WA),S,6-0,185,3,0.8165,Hawaii
NA,Prudy Calderon,San Marcos (San Marcos, TX),ATH,5-11,194,3,0.8165,Rice
NA,Marcus Mosley,Duncanville (Duncanville, TX),WDE,6-1,226,3,0.8165,Army
NA,AJ Mayer,Covington Catholic (Alexandria, KY),PRO,6-3,200,3,0.8165,Miami (OH)
NA,Isaiah Bellamy,Largo (Largo, FL),TE,6-5,220,3,0.8165,uncommitted
NA,Brandon Mays,Viera (Melbourne, FL),OLB,6-0,210,3,0.8165,Army
NA,Jaaron Jackson,Kathleen (Lakeland, FL),WDE,6-2.5,240,3,0.8165,Alcorn State
NA,Jeremiah Wood,Pickerington Central (Pickerington, OH),CB,6-1,195,3,0.8165,Ohio
NA,Montrae Braswell,Avon Park (Avon Park, FL),CB,5-11,181,3,0.8165,Central Michigan
NA,Jalen Smith,Ocean Lakes (Virginia Beach, VA),WR,5-11.5,146,3,0.8165,Navy
NA,Matthew Groeschel,Greenwood (Midland, TX),OG,6-5,324,3,0.8165,uncommitted
NA,Kevyon Davis,Ennis (Ennis, TX),S,6-0,195,3,0.8165,North Texas
NA,Kevin Brewer,Bedford (Bedford, OH),CB,5-11,193,3,0.8165,uncommitted
NA,Osorachukwu Ifesinachukwu,Vandegrift (Austin, TX),OLB,6-2,215,3,0.8165,Yale
NA,Ladarius Anthony,Cy Creek (Houston, TX),S,6-1,170,3,0.8165,Texas State
NA,Jyaire Shorter,Ellison (Killeen, TX),TE,6-2,215,3,0.8165,North Texas
NA,Biron Rossell,West Memphis Christian School (West Memphis, AR),OG,6-4,273,3,0.8165,Louisiana Tech
NA,Jake Collins,Park Vista Community (Lake Worth, FL),ATH,6-1,182,3,0.8165,Duquesne
NA,Tacorrie Russell,Oxford (Munford, AL),SDE,6-3,230,3,0.8165,Jacksonville State
NA,Jalan Robinson,Lawrence Free State (Lawrence, KS),OT,6-6,300,3,0.8165,Kansas
NA,Luke Knox,Brentwood Academy (Brentwood, TN),OLB,6-3,220,3,0.8165,Ole Miss
NA,Kenny Bastida,Deerfield Beach (Fort Lauderdale, FL),ILB,6-1,220,3,0.8163,Kansas
NA,Arryn Siposs,ProKick Australia (Australia, AUST),P,6-2,198,3,0.8161,Auburn
NA,Zach Ross,Dowling Catholic (West Des Moines, IA),OG,6-4,300,3,0.8160,Iowa State
NA,Javian Dayne,Waunakee (Waunakee, WI),RB,6-0,230,3,0.8160,Boston College
NA,Jackson Barrow,Cathedral (Indianapolis, IN),ILB,6-1,205,3,0.8160,Toledo
NA,Gerry Vaughn,Tucker (Tucker, GA),OLB,5-11,205,3,0.8160,Iowa State
NA,Orlando Heggs,The Bolles School (Jacksonville, FL),OG,6-4,305,3,0.8160,Wake Forest
NA,Zamir Mickens,St. Peters Prep (Jersey City, NJ),S,5-11,175,3,0.8159,Rutgers
NA,Oscar Shadley,Golden Gate (Naples, FL),LS,6-2,230,3,0.8158,Virginia Tech
NA,Deion Jennings,Timber Creek (Sicklerville, NJ),CB,6-1,195,3,0.8158,Rutgers
NA,Isaiah Isaac,Buford (Buford, GA),WR,5-9,175,3,0.8156,Wake Forest
NA,Zachary Slade,Olentangy (Lewis Center, OH),SDE,6-4,240,3,0.8154,Michigan State
NA,Chuck Wick,Ventura (Ventura, CA),RB,6-0,180,3,0.8154,uncommitted
NA,Kashan Griffin,Apple Valley (Apple Valley, CA),WR,6-0,172,3,0.8154,Arizona State
NA,Matt Kjeldgaard,Oakdale (Oakdale, CA),DT,6-3,270,3,0.8154,Fresno State
NA,Justin Kakala,Manteca (Manteca, CA),DT,6-4,270,3,0.8154,Harvard
NA,Andrew Todd,George Washington (Cedar Rapids, IA),OG,6-4,280,3,0.8154,Miami (OH)
NA,Elijah Campbell,Gadsden City (Gadsden, AL),DT,6-2,244,3,0.8154,Georgia Southern
NA,Trivenskey Mosley,Woodlawn (Shreveport, LA),RB,5-10,187,3,0.8154,Southern Miss
NA,Jamaal Jolla,St. Augustine (New Orleans, LA),WR,6-2,190,3,0.8154,uncommitted
NA,Wayne Toussant,Plaquemine (Plaquemine, LA),ATH,5-10,160,3,0.8154,Louisiana Tech
NA,Kyron Mims,Woodlawn (Baton Rouge, LA),DT,6-4,275,3,0.8154,Ball State
NA,Karene Reid,Timpview (Provo, UT),OLB,6-0,205,3,0.8154,Utah State
NA,Colby Suits,North Forney (Forney, TX),PRO,6-3,222,3,0.8154,Louisiana-Monroe
NA,Charles Ross,Culver City (Culver City, CA),WR,6-0,171,3,0.8154,Nevada
NA,Jaden Harris,Ouachita Parish (Monroe, LA),S,6-1,190,3,0.8154,Arkansas State
NA,James Harris,Blanche Ely (Pompano Beach, FL),CB,6-1,170,3,0.8154,Bowling Green
NA,Bryce Veasley,West Bloomfield (West Bloomfield, MI),PRO,6-4,230,3,0.8154,Bowling Green
NA,Dyontae Johnson,Cass Technical (Detroit, MI),OLB,6-2,191,3,0.8154,Toledo
NA,Jaren Rainey,Southwest Guilford (High Point, NC),DUAL,6-3,190,3,0.8154,East Carolina
NA,Jalen Norwood,North Florida Christian (Tallahassee, FL),CB,6-0,207,3,0.8154,uncommitted
NA,Jevon Henderson,Centerville (Dayton, OH),DT,6-3,265,3,0.8154,Bowling Green
NA,Antonio Showers,Tucker (Tucker, GA),OLB,6-1,225,3,0.8154,Troy
NA,Shamel Lazarus,Erasmus Hall (Brooklyn, NY),CB,6-2,170,3,0.8154,Connecticut
NA,Cameron Hoelscher,Springfield  (Springfield, OH),ILB,6-2,220,3,0.8154,Army
NA,Terrence Horne,Miramar (Hollywood, FL),ATH,5-9,165,3,0.8154,USF
NA,Jaret Pallotta,Jackson (Canton, OH),PRO,6-5,200,3,0.8154,Massachusetts
NA,Kohl Henke,Boyd-Buchanan School (Chattanooga, TN),S,6-2,187,3,0.8154,Chattanooga
NA,Elijah Clark,Sayreville War Memorial (Sayreville, NJ),CB,6-3,170,3,0.8154,Temple
NA,Gerald Jackson,Glades Central (Belle Glade, FL),WR,6-4,203,3,0.8154,uncommitted
NA,Austin France,R Nelson Snider (Fort Wayne, IN),ILB,6-3,210,3,0.8154,Western Michigan
NA,Bennett Clark,Zionsville (Zionsville, IN),OT,6-6,285,3,0.8154,Miami (OH)
NA,Tate Goodyear,Sycamore (Cincinnati, OH),OG,6-4,275,3,0.8154,Yale
NA,Torey Zanders,George Walton Academy (Monroe, GA),OLB,6-3,225,3,0.8154,uncommitted
NA,Oneil Robinson,Capitol Preparatory Magnet School (Hartford, CT),WR,6-3,177,3,0.8154,Connecticut
NA,Tate Whatley,Lakeland Christian School (Lakeland, FL),DUAL,6-1,180,3,0.8154,Southern Miss
NA,Ryan Bryce,St. Joseph's (Philadelphia, PA),DT,6-4,280,3,0.8154,Army
NA,Jordan Smith,Western (Fort Lauderdale, FL),WR,6-3,190,3,0.8154,Temple
NA,Adam Klein,Episcopal Academy (Newtown Square, PA),OT,6-5,265,3,0.8154,Temple
NA,Onasis Neely,East Pennsboro (Enola, PA),RB,5-11,184,3,0.8154,Temple
NA,Isaiah McKoy,Norcross (Norcross, GA),WR,6-3,175,3,0.8154,Kent State
NA,Cooper Lutz,Berks Catholic (Reading, PA),WR,5-11,190,3,0.8153,Syracuse
NA,Jimmy Bell,Arthur Hill (Saginaw, MI),OT,6-8,314,3,0.8153,uncommitted
NA,Billy Kemp,Highland Springs (Highland Springs, VA),WR,5-9,170,3,0.8153,Virginia
NA,Derek Devine,North Allegheny (Wexford, PA),OT,6-6,275,3,0.8153,Virginia
NA,Charles Campbell,University School Of Jackson (Jackson, TN),K,5-9,180,3,0.8150,Indiana
NA,Malik Putney,Eastside Catholic (Sammamish, WA),S,6-0,195,3,0.8143,Montana State
NA,Nash Fouch,Woodinville (Woodinville, WA),S,6-3,180,3,0.8143,Montana
NA,Cross Wilkinson,Wheeling Park (Wheeling, WV),PRO,6-3,205,3,0.8143,Toledo
NA,DeMarkes Stradford,Charlotte Latin School (Charlotte, NC),RB,5-10,164,3,0.8143,Harvard
NA,Sokoya McDuffie,South Florence (Florence, SC),DT,6-4.5,265,3,0.8143,Old Dominion
NA,Timarcus Simpson,Sickles (Tampa, FL),CB,5-11,170,3,0.8143,Eastern Michigan
NA,Semisi Saluni,Northgate (Walnut Creek, CA),OLB,6-4,205,3,0.8140,Oregon State
NA,Chris Manoa,Chandler (Chandler, AZ),DT,6-0,300,3,0.8139,UNLV
NA,Logan Klemp,South Hamilton High School (Jewell, IA),OLB,6-3,200,3,0.8139,Iowa
NA,Eugene Bowman IV,Robert E. Lee (Jacksonville, FL),CB,6-0,169,3,0.8127,USF
NA,Lee Graham,Baker County Senior (Glen Saint Mary, FL),WR,6-1,185,3,0.8125,uncommitted
NA,Justin Mader,Magnolia (Magnolia, TX),LS,6-0,215,3,0.8125,Texas
NA,Joseph Petrino,Richmond Hill (Richmond Hill, GA),K,5-11,165,3,0.8122,Maryland
NA,Seth Small,Katy (Katy, TX),K,5-11,190,3,0.8116,Texas A&M
NA,Brayden Narveson,Desert Mountain (Scottsdale, AZ),K,6-1,190,3,0.8115,Iowa State
NA,Elliott McElwain,Hewitt-Trussville (Trussville, AL),FB,6-0,205,3,0.8115,Yale
NA,Isaiah Forte,Carver  (Montgomery, AL),SDE,6-3,285,3,0.8115,uncommitted
NA,Zach Bevins,Bishop Sullivan Catholic (Virginia Beach, VA),OG,6-4,285,3,0.8115,Elon
NA,Davon Wright,Donaldsonville (Donaldsonville, LA),DT,6-2,282,3,0.8115,Tulane
NA,Griffin O'Connor,Edison (Huntington Beach, CA),PRO,6-3,200,3,0.8115,Yale
NA,Jeremy Tate,New Hope (Columbus, MS),WR,6-4,210,3,0.8115,Memphis
NA,Calvin Barkat,Sachse (Sachse, TX),OC,6-3,260,3,0.8115,uncommitted
NA,Ezekiel Creps,Pomona (Arvada, CO),OT,6-5,270,3,0.8115,uncommitted
NA,Willie Ervin,Ben Davis (Indianapolis, IN),WDE,6-3,210,3,0.8115,uncommitted
NA,Quavian White,Greer (Greer, SC),CB,5-9,182,3,0.8115,Georgia State
NA,Ashtin Spearman,Beaumont Central (Beaumont, TX),S,5-10,165,3,0.8115,uncommitted
NA,Jalan Harris,Haynesville (Haynesville, LA),WDE,6-2,248,3,0.8115,uncommitted
NA,Canaan Brooks,Lutheran North (Saint Louis, MO),RB,5-11,195,3,0.8115,uncommitted
NA,Marcus Greer,Chaminade (Saint Louis, MO),OG,6-3,295,3,0.8115,Middle Tennessee State
NA,Gino Appleberry,Creekside (Fairburn, GA),RB,5-8,183,3,0.8115,Western Kentucky
NA,Mike Bruner,Homestead (Thiensville, WI),OLB,6-2.5,203,3,0.8115,North Dakota
NA,Jordan Cooper,New Caney (New Caney, TX),ATH,6-0,208,3,0.8115,Navy
NA,Max Yarbrough,Friendswood (Friendswood, TX),OG,6-3,286,3,0.8115,Louisiana
NA,Tre Leslie,Tucker (Tucker, GA),ILB,6-0,210,3,0.8115,Western Kentucky
NA,Desmond Talley,Long Beach Poly (Long Beach, CA),CB,6-0,162,3,0.8115,uncommitted
NA,Mitchell Zoloty,IMG Academy (Bradenton, FL),OG,6-2,250,3,0.8115,Butler
NA,Brian Abraham,Xaverian Brothers (Brockton, MA),S,6-3.5,187,3,0.8115,Yale
