ranking,name,highSchool,position,height,weight,stars,rating,college
634,Malcolm Britt,Oscar Smith (Chesapeake	 VA),OLB,6-0,190,3,0.8556,uncommitted
635,Jevon Banks,Olive Branch (Olive Branch	 MS),OLB,6-2,235,3,0.8556,uncommitted
636,Trevian Thomas,Americus Sumter County South (Americus	 GA),S,6-0,177,3,0.8556,uncommitted
637,Jevyon Ducker,Bellevue West (Bellevue	 NE),APB,5-10,186,3,0.8556,uncommitted
638,Brian Hannibal,James Hubert Blake (Silver Spring	 MD),OG,6-4,270,3,0.8556,uncommitted
639,Roman Purcell,Warren Central (Indianapolis	 IN),DUAL,6-0.5,191,3,0.8556,uncommitted
640,Chris Long,Willingboro (Willingboro	 NJ),ATH,6-0,170,3,0.8556,uncommitted
641,Daryl Porter,American Heritage (Fort Lauderdale	 FL),CB,5-11,177,3,0.8556,uncommitted
642,Caleb Offord,Southaven (Southaven	 MS),CB,6-2,180,3,0.8556,uncommitted
643,Elijah Eberhardt,Princeton (Cincinnati	 OH),CB,6-1,175,3,0.8538,uncommitted
644,Tyler Miller,Greene County (Jefferson	 IA),OT,6-8.5,274,3,0.8538,Iowa State
645,Dustin Fletcher,Carman-Ainsworth (Flint	 MI),DUAL,6-3,205,3,0.8538,uncommitted
646,Roger Rosengarten,Valor Christian (Littleton	 CO),OT,6-7,275,3,0.8538,uncommitted
647,Daved Jones,Lakota West (West Chester	 OH),ILB,6-2,200,3,0.8528,uncommitted
648,Drake Heismeyer,Francis Howell (Saint Charles	 MO),OG,6-4,275,3,0.8528,uncommitted
649,Dylan Barrett,St Charles East (Saint Charles	 IL),OG,6-5,285,3,0.8528,Wisconsin
650,Keilon Brown,Zachary (Zachary	 LA),DUAL,6-0,180,3,0.8528,uncommitted
651,Makholven Sonn,Westgate (New Iberia	 LA),WR,5-11,165,3,0.8528,uncommitted
652,Daniel Foster-Allen,St. Paul's Episcopal (Mobile	 AL),SDE,6-4,250,3,0.8527,uncommitted
653,Eric Shaw,Reeltown (Notasulga	 AL),ATH,6-4,210,3,0.8527,uncommitted
654,Octavious Oxendine,North Hardin (Radcliff	 KY),DT,6-3,310,3,0.8527,uncommitted
655,Micah Bowens,Bishop Gorman (Las Vegas	 NV),DUAL,6-1,180,3,0.8527,uncommitted
656,Latrell Caples,Lancaster (Lancaster	 TX),WR,5-11,176,3,0.8527,uncommitted
657,Allen Horace,Crockett (Crockett	 TX),TE,6-4,218,3,0.8527,uncommitted
658,Tommy Christakos,Chaparral (Scottsdale	 AZ),WR,6-4,200,3,0.8527,uncommitted
659,Tate Romney,Chandler (Chandler	 AZ),OLB,6-2,200,3,0.8527,uncommitted
660,Malachi Melton,Cedar Creek (Egg Harbor City	 NJ),WR,5-11,161,3,0.8527,uncommitted
661,Will Jones,Atascocita (Humble	 TX),OC,6-2,280,3,0.8527,uncommitted
662,Christian Hood,Hightower (Missouri City	 TX),ILB,6-0,205,3,0.8527,uncommitted
663,Jecoryan Davis-Hamilton,Apopka (Apopka	 FL),ATH,6-1,160,3,0.8527,uncommitted
664,Tuli Tuipulotu,Lawndale (Lawndale	 CA),SDE,6-3,240,3,0.8527,uncommitted
665,Carson Bruener,Redmond (Redmond	 WA),ILB,6-2,205,3,0.8527,uncommitted
666,Major Burns,Madison Prep Academy (Baton Rouge	 LA),S,6-1.5,175,3,0.8517,uncommitted
667,Ty'kieast Crawford,Carthage (Carthage	 TX),OG,6-6,310,3,0.8517,Baylor
668,Jaden Hullaby,Bishop Dunne (Dallas	 TX),RB,6-2,205,3,0.8517,uncommitted
669,Myles Price,The Colony (The Colony	 TX),ATH,5-9,165,3,0.8517,uncommitted
670,Quin Bright,Cedar Hill (Cedar Hill	 TX),ATH,5-9,161,3,0.8517,uncommitted
671,Jay Wilkerson,Heritage (Midlothian	 TX),WR,6-1,170,3,0.8516,uncommitted
672,Jahari Rogers,Arlington (Arlington	 TX),ATH,6-0,170,3,0.8516,uncommitted
673,Ben Yurosek,Bakersfield Christian (Bakersfield	 CA),TE,6-4,199,3,0.8500,uncommitted
674,Marshawn Buchanan,Adelanto HS (Adelanto	 CA),ATH,5-11,190,3,0.8500,uncommitted
675,Earnest Sanders,Beecher (Mount Morris	 MI),WR,6-2,190,3,0.8500,uncommitted
676,De'Andre Bulley,River Rouge (River Rouge	 MI),RB,6-1,220,3,0.8500,uncommitted
677,Leshon Williams,H L Richards (Oak Lawn	 IL),RB,5-10,190,3,0.8500,uncommitted
678,Garrett Greene,Lawton Chiles (Tallahassee	 FL),DUAL,5-11,180,3,0.8500,uncommitted
679,Zay Britt,Oxford (Oxford	 AL),APB,5-7,170,3,0.8500,uncommitted
680,Kobah Fuamatu,Mater Dei (Santa Ana	 CA),OLB,6-1,200,3,0.8500,uncommitted
681,Miles Thomas,Tates Creek (Lexington	 KY),WR,6-3,175,3,0.8500,uncommitted
682,Vai Kaho,Bishop Manogue HS (Reno	 NV),ILB,5-11.5,194,3,0.8500,uncommitted
683,Lincoln Tuioti-Mariner,Bishop Gorman (Las Vegas	 NV),S,6-1,200,3,0.8500,uncommitted
684,Tobin Phillips,San Joaquin Memorial (Fresno	 CA),DT,6-4.5,275,3,0.8500,uncommitted
685,Andrew Ueli-Faatoalia,La Habra (La Habra	 CA),OC,6-3,300,3,0.8500,uncommitted
686,Justin Livingston,Paramount (Paramount	 CA),S,5-11,180,3,0.8500,uncommitted
687,Jordan Allen,Cathedral Catholic (San Diego	 CA),OLB,6-2,195,3,0.8500,uncommitted
688,Ronald Gilliam,Junipero Serra (Gardena	 CA),WR,6-0,180,3,0.8500,uncommitted
689,Cade Bennett,Notre Dame Preparatory (Scottsdale	 AZ),OT,6-4,295,3,0.8500,uncommitted
