ranking,name,highSchool,position,height,weight,stars,rating,college
NA,Jasiah Snow-Marshall,Lincoln (Tacoma	 WA),WR,6-1,200,3,0.8099,uncommitted
NA,Gabriel Lopez,Desert Pines (Las Vegas	 NV),WDE,6-3,227,3,0.8099,uncommitted
NA,Jaylen Clark,Lincoln (Tacoma	 WA),ATH,6-3,190,3,0.8099,uncommitted
NA,Matt Gabbert,Central Valley (Veradale	 WA),PRO,6-4,215,3,0.8099,uncommitted
NA,Jernias Tafia,Eastside Catholic (Sammamish	 WA),OG,6-5,325,3,0.8099,uncommitted
NA,Keith Savage,St. John Bosco (Bellflower	 CA),RB,5-9,175,3,0.8099,uncommitted
NA,Lonenoa Faoa,Liberty (Henderson	 NV),PRO,6-1,224,3,0.8099,uncommitted
NA,Jaalen Rening,Central Valley Christian HS (Visalia	 CA),ATH,5-9,160,3,0.8099,uncommitted
NA,Jonathan Vaughns,St. John Bosco (Bellflower	 CA),WR,6-2,185,3,0.8099,uncommitted
NA,Fresh Ison,Moreau Catholic (Hayward	 CA),RB,5-10,185,3,0.8099,uncommitted
NA,Jeremiah Hunter,Central East (Fresno	 CA),WR,6-1,175,3,0.8099,uncommitted
NA,Aidan Gaines,Rome (Rome	 GA),OC,6-1.5,285,3,0.8099,uncommitted
NA,Kamo'l Latu,St. Louis (Honolulu	 HI),S,5-11,170,3,0.8099,uncommitted
NA,Tyrese Tafai,James Campbell (Ewa Beach	 HI),OLB,5-11,205,3,0.8099,uncommitted
NA,Griffin Brewster,Darlington School (Rome	 GA),PRO,6-2.5,187,3,0.8099,uncommitted
NA,Malaki Roberson,Graham-Kapowsin (Graham	 WA),ATH,5-9,170,3,0.8099,uncommitted
NA,Tyrese Rios,Gov John Rogers (Puyallup	 WA),WR,6-1,180,3,0.8099,uncommitted
NA,Waisale Muavesi,Timpview (Provo	 UT),DT,6-3,285,3,0.8099,uncommitted
NA,Malcolm Dewalt,Olympic (Bremerton	 WA),ATH,6-1,185,3,0.8099,uncommitted
NA,Isaiah Strong,Pullman (Pullman	 WA),ATH,6-1,160,3,0.8099,uncommitted
NA,Hudson Walker,Redwood (Visalia	 CA),WDE,6-4,210,3,0.8099,uncommitted
NA,Joshua Wiley,Cody (Detroit	 MI),S,6-2,195,3,0.8099,uncommitted
NA,Sterling Miles,West Bloomfield (West Bloomfield	 MI),WDE,6-5,210,3,0.8099,uncommitted
NA,Jaxon Richards,Chaparral (Scottsdale	 AZ),WDE,6-5,215,3,0.8099,uncommitted
NA,DeAndre Henry,Mountain Pointe (Phoenix	 AZ),OT,6-6,255,3,0.8099,uncommitted
NA,Xzavier Ford,Glendora (Glendora	 CA),RB,6-0,185,3,0.8099,uncommitted
NA,Soane Toia,Grace Brethren (Simi Valley	 CA),DT,6-0,270,3,0.8099,uncommitted
NA,Derrick Smith,Archbishop Mitty (San Jose	 CA),OLB,6-2,210,3,0.8099,uncommitted
NA,Malik Johnson,The Woodlands (The Woodlands	 TX),WR,5-9,175,3,0.8099,uncommitted
NA,Jalen Ross,McKinley (Canton	 OH),WR,6-3,180,3,0.8099,uncommitted
NA,Chance Luper,Fort Worth Christian (North Richland Hills	 TX),WR,6-2,180,3,0.8094,uncommitted
NA,Jaylyn Allen,Paintsville (Paintsville	 KY),OLB,6-1,220,3,0.8083,uncommitted
NA,Dajeun Gibson,Blackman (Murfreesboro	 TN),S,5-11,175,3,0.8066,uncommitted
NA,TyQaze Leggs,Maplewood (Nashville	 TN),OG,6-1,290,3,0.8066,uncommitted
NA,Bryce Cooper,Kentwood (Kentwood	 LA),ILB,5-11,220,3,0.8066,uncommitted
NA,Michael Reese,Cane Ridge (Antioch	 TN),OT,6-3,250,3,0.8016,uncommitted
NA,Randy Holtz,R Nelson Snider (Fort Wayne	 IN),OT,6-6,342,3,0.7999,uncommitted
NA,Deshawn Pace,Colerain (Cincinnati	 OH),S,6-3,185,3,0.7999,uncommitted
NA,Jiovanny Holmes,Bedford (Bedford	 OH),WR,6-2,190,3,0.7999,uncommitted
NA,Luke Kandra,Elder (Cincinnati	 OH),OG,6-4,278,3,0.7999,uncommitted
NA,Miquan Grace,Winton Woods (Cincinnati	 OH),CB,6-0,185,3,0.7999,uncommitted
NA,Caleb Jordan,Clackamas (Clackamas	 OR),DUAL,6-3,190,3,0.7999,uncommitted
NA,Deshawn Jones,East (Akron	 OH),CB,5-11,170,3,0.7999,uncommitted
NA,Abraham Alabi,Pickerington Central (Pickerington	 OH),DT,6-4,315,3,0.7999,uncommitted
NA,Elijah Ford,Colerain (Cincinnati	 OH),ATH,6-3,195,3,0.7999,uncommitted
NA,Kody Sparks,Hamilton Southeastern  (Fishers	 IN),PRO,6-5,210,3,0.7999,uncommitted
NA,Josh Baker,Eureka Sr. (Eureka	 MO),OC,6-3,280,3,0.7999,uncommitted
NA,Khary Crump,Culver City (Culver City	 CA),CB,5-10.5,149,3,0.7999,uncommitted
NA,Kendi Young,Thornton Fractnl No (Calumet City	 IL),RB,5-11,185,3,0.7999,uncommitted
NA,Shawn Lee,Downers Grove South (Downers Grove	 IL),SDE,6-3,270,3,0.7999,uncommitted
NA,Ryan Zanelli,La Habra (La Habra	 CA),PRO,6-2,190,3,0.7999,uncommitted
NA,Carvon Gurley,Minnetonka Senior (Minnetonka	 MN),SDE,6-3,250,3,0.7999,uncommitted
NA,Cornelius Wooten,Robbinsdale Cooper (Minneapolis	 MN),WR,6-0,160,3,0.7999,uncommitted
NA,Martez Poynter,Trinity Catholic (Saint Louis	 MO),WDE,6-4,240,3,0.7999,uncommitted
NA,Mitchell Walters,Mehlville Sr. (Saint Louis	 MO),OT,6-7,265,3,0.7999,uncommitted
NA,Jaylon Armstead,Junipero Serra (Gardena	 CA),RB,6-0,187,3,0.7999,uncommitted
NA,DonJ'rael Brooks,Upland (Upland	 CA),WR,5-10,145,3,0.7999,uncommitted
NA,Anthony Williams,Lawndale (Lawndale	 CA),WR,5-10,170,3,0.7999,uncommitted
NA,Matt Merritt,Buchanan (Clovis	 CA),OLB,6-2,255,3,0.7999,uncommitted
NA,Kenzel Lawler,Eleanor Roosevelt (CORONA	 CA),DUAL,6-2,180,3,0.7999,uncommitted
NA,Tai Marks,Mater Dei (Santa Ana	 CA),OC,6-2,308,3,0.7999,uncommitted
NA,Mose Vavao,St. Francis (Mountain View	 CA),OG,6-2,280,3,0.7999,uncommitted
NA,Justin Anderson,Menlo-Atherton (Menlo Park	 CA),ATH,6-0,165,3,0.7999,uncommitted
NA,Jake Seidel,Seckman Sr. (Imperial	 MO),OT,6-5,285,3,0.7999,uncommitted
NA,Peyton Borrelli,Liberty (Brentwood	 CA),ATH,6-1,190,3,0.7999,uncommitted
NA,Jalique Martin,Trinity (Euless	 TX),WR,5-11,165,3,0.7999,uncommitted
NA,Donte Bowers,Liberty (Henderson	 NV),CB,5-10,165,3,0.7999,uncommitted
NA,Jordyn Turner,Liberty (Brentwood	 CA),WR,6-5,178,3,0.7999,uncommitted
NA,Josh Priebe,Edwardsburg (Edwardsburg	 MI),OT,6-5,265,3,0.7999,uncommitted
NA,Anthony Enechukwu,St. Mary's (West Bloomfield	 MI),ATH,6-3,190,3,0.7999,uncommitted
NA,Buju Tuisavura,Orem (Orem	 UT),S,5-11,170,3,0.7999,uncommitted
NA,Jarron Polu,Desert HIlls (Saint George	 UT),ILB,6-1,205,3,0.7999,uncommitted
NA,C.J. Brown,Walled Lake Western (Walled Lake	 MI),S,5-11,180,3,0.7999,uncommitted
NA,Rishi Daniels,Seattle Preparatory School (Seattle	 WA),ATH,5-11,175,3,0.7999,uncommitted
NA,Puka Sokimi,Bethel (Spanaway	 WA),WR,6-1,180,3,0.7999,uncommitted
NA,Jayden Solis,Auburn Riverside (Auburn	 WA),OLB,6-3,225,3,0.7999,uncommitted
NA,Dwight Tatum,Central East (Fresno	 CA),OG,6-2,350,3,0.7999,uncommitted
NA,Shamar Garrett,De La Salle (Concord	 CA),APB,5-9,173,3,0.7999,uncommitted
NA,Trey Tuggle,Mize Attendance Center (Mize	 MS),OT,6-5,292,3,0.7999,uncommitted
NA,Hosia Stokes,Adelanto HS (Adelanto	 CA),ATH,5-8,160,3,0.7999,uncommitted
NA,Logan Bednar,St. John Bosco (Bellflower	 CA),OG,6-4,290,3,0.7999,uncommitted
NA,Nukuluve Helu,Tooele (Tooele	 UT),ATH,6-1,200,3,0.7999,uncommitted
NA,Aaron Smith,Centennial (Corona	 CA),ATH,6-0,195,3,0.7999,uncommitted
NA,Lukas Van Ness,Barrington (Barrington	 IL),SDE,6-5,220,3,0.7999,uncommitted
NA,Alexander Ehrensberger,Germany (Germany	 GERM),SDE,6-7,230,3,0.7999,uncommitted
NA,Campbell Speights,Memorial (Mcallen	 TX),RB,5-8,184,3,0.7999,uncommitted
NA,Nofoafia Tulafono,Oak Hills (Hesperia	 CA),OG,6-3,305,3,0.7999,uncommitted
NA,Mehki Jordan,North High School (Torrance	 CA),ATH,5-11,153,2,0.7899,uncommitted
NA,Brock White,Madison (Moreno Valley	 CA),DUAL,5-10,160,2,0.7899,uncommitted
NA,Dorian Stowers,Liberty (Henderson	 NV),CB,5-11,155,2,0.7899,uncommitted
NA,Geron Hargon,Captain Shreve (Shreveport	 LA),ILB,6-2,220,2,0.7899,uncommitted
NA,Efton Chism III,Monroe (Monroe	 WA),WR,6-0,170,2,0.7899,uncommitted
NA,Jasper Robinson,McKinley (Canton	 OH),TE,6-4,220,2,0.7899,uncommitted
NA,Christian Galvan,Bothell (Bothell	 WA),ATH,5-9,180,2,0.7899,uncommitted
NA,Ricky Ortega,Coatesville Area (Coatesville	 PA),DUAL,5-11,190,2,0.7889,uncommitted
NA,Owen George,New London (New London	 CT),PRO,6-3,200,2,0.7889,uncommitted
NA,Seth Williams,Statesville (Statesville	 NC),OG,6-3,300,2,0.7889,uncommitted
NA,Jordan Dunbar,Iona Preparatory School (Syracuse	 NY),ATH,6-1,170,2,0.7889,uncommitted
NA,Malakai Anthony,Woodrow Wilson (Washington	 DC),DUAL,6-2,190,2,0.7889,uncommitted
NA,Roscoe Parrish III,Miami Southridge (Miami	 FL),WR,5-9,165,2,0.7889,uncommitted
NA,Kieran Reynolds,Don Bosco Prep (Ramsey	 NJ),WR,6-1,175,2,0.7889,uncommitted
NA,Parker Lewis,Saguaro (Scottsdale	 AZ),K,6-3,200,2,0.7883,USC
NA,Tanner Cromer,Reading Community (Cincinnati	 OH),WDE,6-4,225,2,0.7799,uncommitted
NA,Israel Benjamin,Saguaro (Scottsdale	 AZ),RB,5-9,190,2,0.7799,uncommitted
NA,Taran Birdi,New Westminster (New Westminster	 BC),CB,6-0,156,2,0.7799,uncommitted
NA,Gavin Hals,Montgomery (Santa Rosa	 CA),OG,6-5,290,2,0.7799,uncommitted
NA,Dayveon Bates,Springfield  (Springfield	 OH),S,6-1,185,2,0.7799,uncommitted
NA,Tayveon Smoot,Springfield  (Springfield	 OH),RB,5-11,235,2,0.7699,uncommitted
NA,Ja'von Lyons,St. Clairsville (Saint Clairsville	 OH),OG,6-3,290,2,0.7699,uncommitted
NA,Donnovan Moorer,Stephenson (Stone Mountain	 GA),WR,5-8,160,2,0.7699,uncommitted
NA,Javon Tade,Garfield (Seattle	 WA),PRO,6-2,166,2,0.7699,uncommitted
NA,Demond Arter,St. John's College HS (Washington	 DC),OG,6-4,308,2,0.7667,uncommitted
NA,Logan Clouse,Hun School  (Princeton	 NJ),PRO,6-2,205,2,0.7667,uncommitted
NA,Ethan Wolford,Belfry (Belfry	 KY),OC,6-3,250,2,0.7667,uncommitted
NA,John Phelps,Paintsville (Paintsville	 KY),CB,5-8.5,159,2,0.7667,uncommitted
NA,Carson Vinson,Panther Creek (Cary	 NC),OG,6-5,283,2,0.7667,uncommitted
NA,Devin Johnson,Johnson Central (Paintsville	 KY),OLB,6-0,200,2,0.7667,uncommitted
NA,Cody Goatley,Graves County (Mayfield	 KY),ILB,6-2,202,2,0.7667,uncommitted
NA,Obediah Lewis,Episcopal (Bellaire	 TX),OLB,5-11,200,2,0.7599,uncommitted
NA,Jaxon Ingram,Oliver M. Hazen (Renton	 WA),PRO,6-3,220,2,0.7599,uncommitted
NA,Will Albright,Greeneville (Greeneville	 TN),LS,6-2,200,2,0.7533,Tennessee
NA,Kevin Armstead,St. Francis (La Canada Flintridge	 CA),CB,5-8,175,2,0.7499,uncommitted
NA,Carlton Brown,Mission College Preparatory Catholic (San Luis Obispo	 CA),WR,6-5,185,2,0.7499,uncommitted
NA,Miles Friday,Stephenson (Stone Mountain	 GA),RB,5-11,172,2,0.7399,uncommitted
NA,Jevaun Jacobsen,Clearwater Academy International (Clearwater	 FL),ATH,6-1,210,2,0.7299,uncommitted
NA,Luke Floriea,Mentor (Mentor	 OH),WR,5-10,170,2,0.7299,uncommitted
NA,Miles Fleming,Bishop Hartley (Columbus	 OH),ATH,6-0,175,2,0.7199,uncommitted
